model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,forward_entailment,0.120379,0.089896,1.339087,0.180542,-0.055818,0.296576,False,0.513333,0.026739,600,200,univariate
anthropic__claude-sonnet-4.6,forward_neutral,-0.104202,0.088241,-1.180875,0.237652,-0.277155,0.068751,False,0.508333,0.026725,600,200,univariate
anthropic__claude-sonnet-4.6,forward_contradiction,-0.62191,0.154587,-4.023045,5.7e-05,-0.9249,-0.31892,True,0.52,0.026566,600,200,univariate
anthropic__claude-sonnet-4.6,backward_entailment,0.493858,0.168247,2.935315,0.003332,0.164094,0.823622,True,0.528333,0.027112,600,200,univariate
anthropic__claude-sonnet-4.6,backward_neutral,-0.648272,0.117415,-5.521225,0.0,-0.878404,-0.41814,True,0.53,0.029146,600,200,univariate
anthropic__claude-sonnet-4.6,backward_contradiction,-0.072249,0.07385,-0.978321,0.327916,-0.216995,0.072497,False,0.508333,0.026596,600,200,univariate
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.225516,0.102067,2.209492,0.02714,0.025465,0.425567,True,0.53,0.026858,600,200,univariate
anthropic__claude-sonnet-4.6,nli_boundary_risk,-0.120379,0.089896,-1.339087,0.180542,-0.296576,0.055818,False,0.513333,0.026739,600,200,univariate
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.493856,0.168246,-2.93532,0.003332,-0.823618,-0.164094,True,0.528333,0.027112,600,200,univariate
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.175549,0.127223,-1.379849,0.167633,-0.424907,0.073809,False,0.513333,0.026047,600,200,univariate
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.24804,0.098768,2.511334,0.012028,0.054454,0.441626,True,0.526667,0.026716,600,200,univariate
deepseek__deepseek-v4-flash,forward_entailment,0.396886,0.160472,2.473236,0.01339,0.08236,0.711412,True,0.576667,0.177585,600,200,univariate
deepseek__deepseek-v4-flash,forward_neutral,-0.378688,0.156867,-2.414064,0.015776,-0.686148,-0.071228,True,0.576667,0.177375,600,200,univariate
deepseek__deepseek-v4-flash,forward_contradiction,-0.609703,0.210974,-2.889946,0.003853,-1.023212,-0.196194,True,0.556667,0.175064,600,200,univariate
deepseek__deepseek-v4-flash,backward_entailment,0.576982,0.142389,4.052157,5.1e-05,0.2979,0.856064,True,0.558333,0.177215,600,200,univariate
deepseek__deepseek-v4-flash,backward_neutral,-0.699819,0.128451,-5.448156,0.0,-0.951582,-0.448056,True,0.561667,0.179114,600,200,univariate
deepseek__deepseek-v4-flash,backward_contradiction,-0.110812,0.064943,-1.706286,0.087955,-0.238101,0.016477,False,0.545,0.173826,600,200,univariate
deepseek__deepseek-v4-flash,bidirectional_entailment,0.494258,0.170758,2.894489,0.003798,0.159572,0.828944,True,0.583333,0.179313,600,200,univariate
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.396886,0.160472,-2.473238,0.013389,-0.711412,-0.08236,True,0.576667,0.177585,600,200,univariate
deepseek__deepseek-v4-flash,nli_omission_risk,-0.576978,0.142387,-4.052174,5.1e-05,-0.856057,-0.297899,True,0.558333,0.177215,600,200,univariate
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.237954,0.124269,-1.914828,0.055514,-0.481521,0.005613,False,0.546667,0.173373,600,200,univariate
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.531011,0.162188,3.274042,0.00106,0.213122,0.8489,True,0.59,0.178678,600,200,univariate
google__gemini-3-flash-preview,forward_entailment,-0.082875,0.087533,-0.94679,0.343746,-0.254439,0.088689,False,0.601667,-0.413093,600,200,univariate
google__gemini-3-flash-preview,forward_neutral,0.101418,0.086759,1.168967,0.242417,-0.068629,0.271465,False,0.606667,-0.413418,600,200,univariate
google__gemini-3-flash-preview,forward_contradiction,-0.523178,0.200766,-2.605905,0.009163,-0.91668,-0.129676,True,0.611667,-0.416066,600,200,univariate
google__gemini-3-flash-preview,backward_entailment,0.312994,0.151595,2.064673,0.038954,0.015868,0.61012,True,0.606667,-0.417506,600,200,univariate
google__gemini-3-flash-preview,backward_neutral,-0.492522,0.087473,-5.630556,0.0,-0.663969,-0.321075,True,0.608333,-0.417535,600,200,univariate
google__gemini-3-flash-preview,backward_contradiction,0.03905,0.099261,0.393409,0.694018,-0.155501,0.233601,False,0.603333,-0.412549,600,200,univariate
google__gemini-3-flash-preview,bidirectional_entailment,0.025859,0.097822,0.264347,0.791512,-0.165872,0.21759,False,0.601667,-0.412482,600,200,univariate
google__gemini-3-flash-preview,nli_boundary_risk,0.082875,0.087533,0.94679,0.343746,-0.088689,0.254439,False,0.601667,-0.413093,600,200,univariate
google__gemini-3-flash-preview,nli_omission_risk,-0.312992,0.151594,-2.064677,0.038954,-0.610116,-0.015868,True,0.606667,-0.417506,600,200,univariate
google__gemini-3-flash-preview,nli_contradiction_risk,-0.058271,0.131616,-0.442736,0.657957,-0.316238,0.199696,False,0.601667,-0.41277,600,200,univariate
google__gemini-3-flash-preview,semantic_fidelity_score,0.032619,0.101078,0.322711,0.746914,-0.165494,0.230732,False,0.601667,-0.412523,600,200,univariate
moonshotai__kimi-k2.5,forward_entailment,-0.107856,0.088211,-1.222705,0.221441,-0.28075,0.065038,False,0.578333,0.31683,600,200,univariate
moonshotai__kimi-k2.5,forward_neutral,0.12226,0.087868,1.391401,0.164104,-0.049962,0.294482,False,0.578333,0.317073,600,200,univariate
moonshotai__kimi-k2.5,forward_contradiction,-0.186206,0.109301,-1.70361,0.088454,-0.400436,0.028024,False,0.576667,0.316993,600,200,univariate
moonshotai__kimi-k2.5,backward_entailment,0.329408,0.124851,2.638404,0.00833,0.0847,0.574116,True,0.586667,0.319775,600,200,univariate
moonshotai__kimi-k2.5,backward_neutral,-0.652761,0.13572,-4.809608,2e-06,-0.918773,-0.386749,True,0.591667,0.323176,600,200,univariate
moonshotai__kimi-k2.5,backward_contradiction,0.059226,0.061477,0.963383,0.335356,-0.061269,0.179721,False,0.576667,0.31624,600,200,univariate
moonshotai__kimi-k2.5,bidirectional_entailment,-0.004525,0.095471,-0.047397,0.962197,-0.191648,0.182598,False,0.578333,0.315937,600,200,univariate
moonshotai__kimi-k2.5,nli_boundary_risk,0.107856,0.088211,1.222705,0.221441,-0.065038,0.28075,False,0.578333,0.31683,600,200,univariate
moonshotai__kimi-k2.5,nli_omission_risk,-0.329407,0.124851,-2.638406,0.00833,-0.574114,-0.0847,True,0.586667,0.319775,600,200,univariate
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.028918,0.078467,-0.368536,0.712474,-0.182714,0.124878,False,0.576667,0.315996,600,200,univariate
moonshotai__kimi-k2.5,semantic_fidelity_score,0.007194,0.092276,0.077962,0.937859,-0.173667,0.188055,False,0.578333,0.315939,600,200,univariate
