version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,CE,001,A,13.0,7.0,4.113043,59.0,0.035766,0.582653,0.432203,5.0,6.0,0.701493,118.0,3.0,39.333333,4.313942741,0.895892151,0.986691342,3.15959958,-1.981262113,-0.19793908,-0.518874878,0.791753912,3.942294088,-1.773089825,6.358328962,6.149075968,0.811394939
claude-version,CE,001,B,9.0,12.0,3.79646,56.0,0.033597,0.564,0.482759,3.0,11.0,0.731343,116.0,3.0,38.666667,2.472816566,3.657241403,0.511286713,2.903343802,-2.024312575,-0.329854323,-0.087485864,0.135187105,7.703594406,-1.754835226,6.212713151,6.149075968,0.758340518
claude-version,CE,001,C,13.0,9.0,4.109091,54.0,0.037355,0.517,0.477876,1.0,9.0,0.671642,113.0,3.0,37.666667,4.313942741,2.000431852,0.980756724,2.732506616,-1.94972353,-0.662241413,-0.129151988,-0.521379701,6.199074279,-1.791345036,5.994289434,6.149075968,0.678758807
claude-version,CE,002,A,17.0,6.0,3.858407,28.0,0.034145,0.623585,0.364407,15.0,0.0,0.550633,118.0,5.0,23.6,6.155068917,0.343622301,0.604310945,0.511623203,-2.013435833,0.091534716,-1.097370992,4.074587943,-0.571266292,-1.865347409,6.358328962,12.535735676,-0.440690622
claude-version,CE,002,B,14.0,6.0,3.691667,33.0,0.030764,0.613115,0.512,11.0,1.0,0.632911,125.0,5.0,25.0,4.774224285,0.343622301,0.353921733,0.938716167,-2.080542156,0.017490188,0.162024503,2.761454331,0.180993771,-1.815030761,6.867984302,12.535735676,-0.329276227
claude-version,CE,002,C,16.0,8.0,3.722689,30.0,0.031283,0.588136,0.451613,12.0,1.0,0.588608,124.0,5.0,24.8,5.694787373,1.448162002,0.400506681,0.682460389,-2.070241008,-0.159162943,-0.353251396,3.089737734,0.180993771,-1.842124012,6.795176396,12.535735676,-0.345192569
claude-version,CE,003,A,10.0,8.0,3.25,28.0,0.03125,0.479412,0.444444,4.0,13.0,0.700787,108.0,4.0,27.0,2.93309811,1.448162002,-0.309318353,0.511623203,-2.070895994,-0.928066221,-0.414423716,0.463470509,9.208114532,-1.773521576,5.630249906,9.342405822,-0.170112805
claude-version,CE,003,B,10.0,6.0,3.22549,27.0,0.031622,0.5375,0.509434,3.0,7.0,0.692913,106.0,4.0,26.5,2.93309811,0.343622301,-0.346124396,0.426204611,-2.063512512,-0.517264065,0.140129096,0.135187105,4.694554152,-1.778336876,5.484634094,9.342405822,-0.20990366
claude-version,CE,003,C,10.0,6.0,3.25,27.0,0.03125,0.555435,0.472222,3.0,3.0,0.685039,108.0,4.0,27.0,2.93309811,0.343622301,-0.309318353,0.426204611,-2.070895994,-0.390426566,-0.177396973,0.135187105,1.685513898,-1.783152176,5.630249906,9.342405822,-0.170112805
claude-version,CE,004,A,12.0,5.0,2.913043,15.0,0.042218,0.467105,0.438356,6.0,0.0,0.547826,73.0,4.0,18.25,3.853661197,-0.208647549,-0.8153181,-0.598818503,-1.853202369,-1.015102135,-0.466371978,1.120037315,-0.571266292,-1.867064014,3.081973208,9.342405822,-0.866452777
