model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,clause_count,0.097516,0.107707,0.905382,0.365263,-0.11359,0.308622,False,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,dependency_depth,0.030545,0.096392,0.316884,0.751332,-0.158383,0.219473,False,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.298153,0.139876,2.131552,0.033044,0.023996,0.57231,True,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,max_dependency_distance,0.035455,0.115097,0.308044,0.758049,-0.190135,0.261045,False,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.395467,0.149912,-2.638,0.00834,-0.689294,-0.10164,True,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nominalization_ratio,-0.243508,0.09818,-2.480223,0.01313,-0.435941,-0.051075,True,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,modifier_density,0.404901,0.108611,3.728005,0.000193,0.192024,0.617778,True,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,coordination_count,-0.104857,0.100424,-1.044138,0.296422,-0.301689,0.091975,False,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,passive_count,-0.022881,0.0979,-0.233717,0.815204,-0.214766,0.169004,False,0.596667,0.028028,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.407058,0.146621,-2.776262,0.005499,-0.694435,-0.119681,True,0.596667,0.028028,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,clause_count,0.087347,0.117662,0.742357,0.457871,-0.14327,0.317964,False,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,dependency_depth,-0.042734,0.103129,-0.414375,0.678599,-0.244866,0.159398,False,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,mean_dependency_distance,0.283837,0.151341,1.875474,0.060727,-0.012792,0.580466,False,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,max_dependency_distance,-0.071325,0.111105,-0.64196,0.520899,-0.289091,0.146441,False,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.374126,0.172942,-2.163302,0.030518,-0.713093,-0.035159,True,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nominalization_ratio,-0.273056,0.103843,-2.629519,0.008551,-0.476587,-0.069525,True,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,modifier_density,0.272303,0.103131,2.640365,0.008282,0.070167,0.474439,True,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,coordination_count,-0.219855,0.111652,-1.969117,0.04894,-0.438692,-0.001018,True,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,passive_count,0.114082,0.092835,1.228869,0.219121,-0.067874,0.296038,False,0.616667,0.186035,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.042708,0.144232,-0.296106,0.767149,-0.325403,0.239987,False,0.616667,0.186035,600,200,feature_family_multivariate
google__gemini-3-flash-preview,clause_count,0.233256,0.118885,1.962028,0.049759,0.000241,0.466271,True,0.658333,-0.435308,600,200,feature_family_multivariate
google__gemini-3-flash-preview,dependency_depth,-0.04528,0.104879,-0.431737,0.665932,-0.250842,0.160282,False,0.658333,-0.435308,600,200,feature_family_multivariate
google__gemini-3-flash-preview,mean_dependency_distance,0.370422,0.147056,2.518917,0.011772,0.082192,0.658652,True,0.658333,-0.435308,600,200,feature_family_multivariate
google__gemini-3-flash-preview,max_dependency_distance,0.021118,0.107249,0.196907,0.8439,-0.189089,0.231325,False,0.658333,-0.435308,600,200,feature_family_multivariate
google__gemini-3-flash-preview,normalized_dependency_distance,-0.45562,0.146996,-3.099538,0.001938,-0.743732,-0.167508,True,0.658333,-0.435308,600,200,feature_family_multivariate
google__gemini-3-flash-preview,nominalization_ratio,-0.220159,0.097113,-2.267036,0.023388,-0.410501,-0.029817,True,0.658333,-0.435308,600,200,feature_family_multivariate
google__gemini-3-flash-preview,modifier_density,0.195411,0.101702,1.921408,0.05468,-0.003925,0.394747,False,0.658333,-0.435308,600,200,feature_family_multivariate
