model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,extra_number_count,-0.380027,0.149658,-2.539296,0.011108,-0.673357,-0.086697,True,0.535,0.033255,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_number_ratio,0.141369,0.154771,0.913407,0.361029,-0.161982,0.44472,False,0.535,0.033255,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_entity_count,0.157453,0.091749,1.71613,0.086138,-0.022375,0.337281,False,0.535,0.033255,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,financial_register_score,0.023174,0.080695,0.287182,0.773973,-0.134987,0.181335,False,0.535,0.033255,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,statistical_register_score,-0.023393,0.066668,-0.350886,0.725674,-0.154063,0.107277,False,0.535,0.033255,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,register_score,-0.003448,0.053484,-0.064468,0.948598,-0.108277,0.101381,False,0.535,0.033255,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,translationese_score,0.060423,0.089335,0.676366,0.498809,-0.114673,0.235519,False,0.535,0.033255,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_number_count,-0.501205,0.107992,-4.641124,3e-06,-0.71287,-0.28954,True,0.578333,0.197188,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_number_ratio,-0.473009,0.066712,-7.090287,0.0,-0.603765,-0.342253,True,0.578333,0.197188,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_entity_count,0.066291,0.097508,0.679851,0.496599,-0.124825,0.257407,False,0.578333,0.197188,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,financial_register_score,0.092476,0.082844,1.11626,0.264311,-0.069899,0.254851,False,0.578333,0.197188,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,statistical_register_score,0.03683,0.066968,0.549968,0.582342,-0.094426,0.168086,False,0.578333,0.197188,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,register_score,0.093978,0.050993,1.842945,0.065337,-0.005969,0.193925,False,0.578333,0.197188,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,translationese_score,0.052553,0.094451,0.556407,0.577933,-0.13257,0.237676,False,0.578333,0.197188,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_count,-0.490511,0.130847,-3.748727,0.000178,-0.746972,-0.23405,True,0.61,-0.412556,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_ratio,0.223709,0.149866,1.492728,0.135508,-0.070028,0.517446,False,0.61,-0.412556,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_entity_count,0.198852,0.098214,2.024686,0.0429,0.006353,0.391351,True,0.61,-0.412556,600,200,feature_family_multivariate
google__gemini-3-flash-preview,financial_register_score,-0.015101,0.073072,-0.206658,0.836277,-0.158323,0.128121,False,0.61,-0.412556,600,200,feature_family_multivariate
google__gemini-3-flash-preview,statistical_register_score,-0.026787,0.063153,-0.424159,0.67145,-0.150567,0.096993,False,0.61,-0.412556,600,200,feature_family_multivariate
google__gemini-3-flash-preview,register_score,-0.032537,0.05237,-0.621291,0.534408,-0.135182,0.070108,False,0.61,-0.412556,600,200,feature_family_multivariate
google__gemini-3-flash-preview,translationese_score,-0.06011,0.096264,-0.624429,0.532346,-0.248787,0.128567,False,0.61,-0.412556,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_count,-0.293501,0.151414,-1.938406,0.052574,-0.590272,0.00327,False,0.593333,0.325468,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_ratio,0.199506,0.124153,1.60693,0.10807,-0.043835,0.442847,False,0.593333,0.325468,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_entity_count,0.220268,0.097673,2.255157,0.024123,0.028829,0.411707,True,0.593333,0.325468,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,financial_register_score,-0.05458,0.081526,-0.669482,0.503188,-0.21437,0.10521,False,0.593333,0.325468,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,statistical_register_score,0.032296,0.070283,0.459512,0.645866,-0.105459,0.170051,False,0.593333,0.325468,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,register_score,-0.010756,0.050218,-0.214187,0.830402,-0.109183,0.087671,False,0.593333,0.325468,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,translationese_score,-0.071004,0.091881,-0.772785,0.43965,-0.25109,0.109082,False,0.593333,0.325468,600,200,feature_family_multivariate
openai__gpt-5.2,extra_number_count,-0.503853,0.125694,-4.008578,6.1e-05,-0.750213,-0.257493,True,0.53,-0.029951,600,200,feature_family_multivariate
openai__gpt-5.2,extra_number_ratio,-0.118691,0.19197,-0.618279,0.536392,-0.494952,0.25757,False,0.53,-0.029951,600,200,feature_family_multivariate
openai__gpt-5.2,extra_entity_count,0.034155,0.096171,0.355147,0.722479,-0.154341,0.222651,False,0.53,-0.029951,600,200,feature_family_multivariate
openai__gpt-5.2,financial_register_score,-0.001475,0.081826,-0.018026,0.985618,-0.161854,0.158904,False,0.53,-0.029951,600,200,feature_family_multivariate
openai__gpt-5.2,statistical_register_score,0.048262,0.063762,0.756914,0.449102,-0.076711,0.173235,False,0.53,-0.029951,600,200,feature_family_multivariate
openai__gpt-5.2,register_score,0.038922,0.050293,0.773908,0.438985,-0.059652,0.137496,False,0.53,-0.029951,600,200,feature_family_multivariate
