version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_or_beishi_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,EC,001,A,10.0,7.0,5.064935,40.0,0.065778,0.404167,0.341772,5.0,1.0,1.205479,79.0,2.0,39.5,2.55596894,2.252847381,1.15633382,2.062594597,-1.975970261,-0.839281657,-0.029851219,1.251987134,0.552788273,-2.09074786,4.93924896,9.75475982,1.169875135
claude-version,EC,001,B,9.0,5.0,4.621622,23.0,0.062454,0.495763,0.402597,6.0,0.0,1.287671,77.0,3.0,25.666667,2.101703675,0.516414992,0.740215521,0.326317888,-2.047364608,-0.082702019,0.553005408,1.632345359,-0.632943758,-2.068696584,4.747347017,19.608052568,-0.161190405
claude-version,EC,001,C,9.0,5.0,4.537313,36.0,0.067721,0.558,0.391304,5.0,1.0,1.09589,69.0,2.0,34.5,2.101703675,0.516414992,0.661078393,1.654058901,-1.934237645,0.431373343,0.444790038,1.251987134,0.552788273,-2.120149472,3.979739247,9.75475982,0.688767097
claude-version,EC,002,A,18.0,5.0,5.292135,59.0,0.059462,0.394203,0.252747,3.0,15.0,1.461538,91.0,2.0,45.5,6.19009106,0.516414992,1.369596408,4.003139155,-2.111628112,-0.921583935,-0.88293484,0.491270684,17.153036713,-2.022049841,6.090660616,9.75475982,1.747204781
claude-version,EC,002,B,17.0,5.0,4.463918,23.0,0.04602,0.462658,0.316832,3.0,14.0,1.730769,101.0,4.0,25.25,5.735825795,0.516414992,0.592185754,0.326317888,-2.400341353,-0.356148119,-0.268839205,0.491270684,15.967304682,-1.949817907,7.050170329,29.461345316,-0.201282774
claude-version,EC,002,C,19.0,5.0,4.730769,30.0,0.045488,0.455114,0.299065,3.0,11.0,1.871795,107.0,3.0,35.666667,6.644356325,0.516414992,0.842666981,1.041255356,-2.411767885,-0.418461285,-0.439091794,0.491270684,12.410108588,-1.911982069,7.625876157,19.608052568,0.801025671
claude-version,EC,003,A,10.0,6.0,3.615385,24.0,0.03973,0.374074,0.361702,0.0,6.0,1.851351,94.0,3.0,31.333333,2.55596894,1.384631187,-0.204294631,0.428451812,-2.535440764,-1.087848745,0.161128355,-0.649803992,6.48144843,-1.917466986,6.37851353,19.608052568,0.384065307
claude-version,EC,003,B,12.0,6.0,4.310345,26.0,0.049544,0.384416,0.344444,0.0,4.0,1.675676,90.0,3.0,30.0,3.46449947,1.384631187,0.448033573,0.63271966,-2.324651317,-1.0024242,-0.004246732,-0.649803992,4.109984367,-1.964598798,5.994709645,19.608052568,0.255769863
claude-version,EC,003,C,15.0,6.0,3.815789,20.0,0.050208,0.411538,0.367089,0.0,2.0,1.540541,79.0,3.0,26.333333,4.827295265,1.384631187,-0.016184263,0.019916115,-2.31038963,-0.778397464,0.212749377,-0.649803992,1.738520305,-2.000854141,4.93924896,19.608052568,-0.097042731
claude-version,EC,004,A,11.0,5.0,4.102273,27.0,0.046617,0.505769,0.397849,3.0,4.0,2.029412,93.0,5.0,18.6,3.010234205,0.516414992,0.252725593,0.734853584,-2.387518722,-5.2822e-05,0.507507615,0.491270684,4.109984367,-1.869695034,6.282562558,39.314638064,-0.841156464
claude-version,EC,004,B,15.0,5.0,2.925,22.0,0.036562,0.455224,0.317647,3.0,7.0,1.735294,85.0,5.0,17.0,4.827295265,0.516414992,-0.852328486,0.224183963,-2.603484474,-0.417552689,-0.261029454,0.491270684,7.667180462,-1.948603896,5.514954788,39.314638064,-0.995111037
claude-version,EC,004,C,17.0,5.0,3.675,22.0,0.045937,0.439286,0.423529,3.0,4.0,1.779412,85.0,5.0,17.0,5.735825795,0.516414992,-0.148336668,0.224183963,-2.402124063,-0.549199991,0.753586664,0.491270684,4.109984367,-1.936767486,5.514954788,39.314638064,-0.995111037
claude-version,EC,005,A,15.0,5.0,3.77381,16.0,0.044926,0.49375,0.340909,8.0,2.0,1.573333,88.0,4.0,22.0,4.827295265,0.516414992,-0.055588093,-0.388619581,-2.42383877,-0.099329326,-0.038120932,2.39306181,1.738520305,-1.992056381,5.802807702,29.461345316,-0.514002998
claude-version,EC,005,B,16.0,6.0,3.351064,18.0,0.03565,0.505625,0.346939,9.0,4.0,1.826667,98.0,4.0,24.5,5.28156053,1.384631187,-0.452401059,-0.184351733,-2.623072814,-0.001242257,0.019661649,2.773420035,4.109984367,-1.924089451,6.762317415,29.461345316,-0.273448979
claude-version,EC,005,C,17.0,6.0,3.705882,18.0,0.043599,0.515942,0.370787,6.0,2.0,1.613333,89.0,4.0,22.25,5.735825795,1.384631187,-0.119349101,-0.184351733,-2.452340665,0.083975788,0.248185526,1.632345359,1.738520305,-1.981324789,5.898758673,29.461345316,-0.489947597
claude-version,EC,006,A,9.0,6.0,3.241935,22.0,0.052289,0.393137,0.415385,3.0,7.0,1.439394,65.0,3.0,21.666667,2.101703675,1.384631187,-0.554835623,0.224183963,-2.265692989,-0.930389057,0.675546642,0.491270684,7.667180462,-2.02799085,3.595935362,19.608052568,-0.546076836
claude-version,EC,006,B,10.0,5.0,3.428571,25.0,0.04898,0.457895,0.410959,3.0,7.0,1.636364,73.0,3.0,24.333333,2.55596894,0.516414992,-0.379648668,0.530585736,-2.336765159,-0.395490326,0.633134419,0.491270684,7.667180462,-1.975145807,4.363543132,19.608052568,-0.289485946
claude-version,EC,006,C,11.0,5.0,3.578125,21.0,0.055908,0.430769,0.402985,3.0,6.0,1.484848,67.0,3.0,22.333333,3.010234205,0.516414992,-0.239268945,0.122050039,-2.187962501,-0.619550102,0.556723425,0.491270684,6.48144843,-2.015796005,3.787837304,19.608052568,-0.481929161
claude-version,EC,007,A,15.0,6.0,3.85567,28.0,0.039749,0.411446,0.376238,7.0,2.0,1.8,101.0,4.0,25.25,4.827295265,1.384631187,0.021250267,0.836987508,-2.535032673,-0.779157381,0.300419829,2.012703584,1.738520305,-1.931243936,7.050170329,29.461345316,-0.201282774
claude-version,EC,007,B,13.0,6.0,3.688889,23.0,0.040988,0.442683,0.404255,7.0,0.0,1.76,94.0,4.0,23.5,3.918764735,1.384631187,-0.135299679,0.326317888,-2.508420882,-0.521140894,0.568893222,2.012703584,-0.632943758,-1.941975528,6.37851353,29.461345316,-0.369670587
claude-version,EC,007,C,10.0,7.0,4.107143,24.0,0.048895,0.471528,0.352273,5.0,0.0,1.586667,88.0,4.0,22.0,2.55596894,2.252847381,0.257296846,0.428451812,-2.338590827,-0.28288224,0.070774797,1.251987134,-0.632943758,-1.988479005,5.802807702,29.461345316,-0.514002998
claude-version,EC,008,A,11.0,4.0,3.97561,25.0,0.048483,0.523288,0.470588,1.0,2.0,1.765625,85.0,3.0,28.333333,3.010234205,-0.351801202,0.133832638,0.530585736,-2.347439946,0.144653482,1.204530356,-0.269445767,1.738520305,-1.940466398,5.514954788,19.608052568,0.095400484
