feature,backward_contradiction,backward_entailment,backward_neutral,bidirectional_entailment,clause_count,coordination_count,crosslingual_embedding_similarity,dependency_depth,extra_entity_count,extra_number_count,extra_number_ratio,financial_register_score,forward_contradiction,forward_entailment,forward_neutral,max_dependency_distance,mean_dependency_distance,modifier_density,nli_boundary_risk,nli_contradiction_risk,nli_omission_risk,nominalization_ratio,normalized_dependency_distance,passive_or_beishi_count,register_score,semantic_fidelity_score,sentence_compression_ratio,statistical_register_score,translationese_score
backward_contradiction,1.0000,-0.5841,0.1249,-0.5366,-0.1410,-0.0856,-0.1392,-0.0002,-0.0315,0.0464,0.0249,-0.0910,0.5638,-0.3686,0.0818,-0.0240,0.0462,0.0009,0.3686,0.9534,0.5841,0.1205,0.0808,-0.1124,-0.0516,-0.8249,0.0086,0.0179,-0.0710
backward_entailment,-0.5841,1.0000,-0.8783,0.9046,0.1357,0.0614,0.2490,0.0747,0.0993,-0.0581,0.0180,0.0916,-0.3945,0.3691,-0.1919,0.0969,0.0214,0.1012,-0.3691,-0.5982,-1.0000,-0.1911,-0.0872,0.1048,0.0456,0.8341,0.0767,-0.0273,0.1679
backward_neutral,0.1249,-0.8783,1.0000,-0.7897,-0.0828,-0.0246,-0.2224,-0.0912,-0.1029,0.0436,-0.0366,-0.0583,0.1501,-0.2340,0.1864,-0.1043,-0.0534,-0.1243,0.2340,0.1697,0.8783,0.1626,0.0590,-0.0620,-0.0253,-0.5337,-0.0989,0.0227,-0.1634
bidirectional_entailment,-0.5366,0.9046,-0.7897,1.0000,0.1277,0.0189,0.2184,0.0620,0.1245,-0.0773,0.0109,0.0754,-0.3963,0.6629,-0.5465,0.1062,0.0297,0.1128,-0.6629,-0.5642,-0.9046,-0.1958,-0.0678,0.1047,0.0092,0.8673,0.0600,-0.0634,0.1731
clause_count,-0.1410,0.1357,-0.0828,0.1277,1.0000,0.3296,0.2339,0.1864,0.1286,-0.1474,-0.0526,0.1437,-0.1124,0.0763,-0.0198,0.1736,0.0354,-0.3565,-0.0763,-0.1516,-0.1357,-0.2800,-0.4133,0.2529,0.0007,0.1551,0.4223,-0.1451,0.0809
coordination_count,-0.0856,0.0614,-0.0246,0.0189,0.3296,1.0000,-0.0068,0.1476,-0.0107,-0.1214,-0.0796,0.0164,-0.0822,-0.0097,0.0649,0.1984,0.1784,-0.1366,0.0097,-0.0953,-0.0614,0.1722,0.0416,0.0712,-0.0258,0.0693,0.1797,-0.0538,0.0332
crosslingual_embedding_similarity,-0.1392,0.2490,-0.2224,0.2184,0.2339,-0.0068,1.0000,-0.0045,-0.0468,-0.1106,-0.0526,0.0420,-0.0754,0.0598,-0.0236,-0.0950,-0.1450,0.0202,-0.0598,-0.1506,-0.2490,-0.1607,-0.3101,0.1763,0.0594,0.1985,0.0891,0.0430,0.1079
dependency_depth,-0.0002,0.0747,-0.0912,0.0620,0.1864,0.1476,-0.0045,1.0000,0.0300,-0.1376,-0.0910,-0.0253,0.0390,0.0141,-0.0423,0.3449,0.3019,-0.0876,-0.0141,0.0032,-0.0747,-0.1030,0.1198,0.0931,-0.0677,0.0351,0.1119,-0.0720,0.1742
extra_entity_count,-0.0315,0.0993,-0.1029,0.1245,0.1286,-0.0107,-0.0468,0.0300,1.0000,-0.0172,0.0324,0.2559,-0.0673,0.1179,-0.0992,0.0317,-0.0331,0.0987,-0.1179,-0.0442,-0.0993,0.0045,-0.1221,0.0185,0.1435,0.1006,0.1853,-0.0530,0.1090
extra_number_count,0.0464,-0.0581,0.0436,-0.0773,-0.1474,-0.1214,-0.1106,-0.1376,-0.0172,1.0000,0.7125,0.0083,0.0043,-0.1069,0.1266,-0.1672,-0.1979,0.0903,0.1069,0.0390,0.0581,0.0188,-0.1712,-0.1887,0.1784,-0.0769,-0.2974,0.2491,-0.0542
extra_number_ratio,0.0249,0.0180,-0.0366,0.0109,-0.0526,-0.0796,-0.0526,-0.0910,0.0324,0.7125,1.0000,0.0432,0.0394,-0.0452,0.0292,-0.1398,-0.1629,0.0724,0.0452,0.0323,-0.0180,-0.0039,-0.1286,-0.0870,0.1009,-0.0217,-0.1808,0.1018,0.0055
financial_register_score,-0.0910,0.0916,-0.0583,0.0754,0.1437,0.0164,0.0420,-0.0253,0.2559,0.0083,0.0432,1.0000,-0.0241,0.0178,-0.0060,0.0387,0.0045,-0.0022,-0.0178,-0.0715,-0.0916,0.0659,-0.0126,-0.0642,0.7211,0.0795,0.2113,0.0239,0.1012
forward_contradiction,0.5638,-0.3945,0.1501,-0.3963,-0.1124,-0.0822,-0.0754,0.0390,-0.0673,0.0043,0.0394,-0.0241,1.0000,-0.5650,0.0376,-0.0776,-0.0649,-0.1251,0.5650,0.7447,0.3945,0.0687,0.0690,-0.0758,-0.0300,-0.7033,0.0359,-0.0188,0.0007
forward_entailment,-0.3686,0.3691,-0.2340,0.6629,0.0763,-0.0097,0.0598,0.0141,0.1179,-0.1069,-0.0452,0.0178,-0.5650,1.0000,-0.8458,0.1068,0.0841,0.1111,-1.0000,-0.4673,-0.3691,-0.1149,-0.0027,0.0786,-0.0511,0.6934,-0.0317,-0.0919,0.0824
forward_neutral,0.0818,-0.1919,0.1864,-0.5465,-0.0198,0.0649,-0.0236,-0.0423,-0.0992,0.1266,0.0292,-0.0060,0.0376,-0.8458,1.0000,-0.0791,-0.0599,-0.0536,0.8458,0.0844,0.1919,0.0947,-0.0413,-0.0462,0.0813,-0.3851,0.0152,0.1234,-0.1003
max_dependency_distance,-0.0240,0.0969,-0.1043,0.1062,0.1736,0.1984,-0.0950,0.3449,0.0317,-0.1672,-0.1398,0.0387,-0.0776,0.1068,-0.0791,1.0000,0.7179,-0.0317,-0.1068,-0.0435,-0.0969,-0.0351,0.3390,0.1463,-0.0266,0.0958,0.1243,-0.0777,0.2250
mean_dependency_distance,0.0462,0.0214,-0.0534,0.0297,0.0354,0.1784,-0.1450,0.3019,-0.0331,-0.1979,-0.1629,0.0045,-0.0649,0.0841,-0.0599,0.7179,1.0000,-0.0035,-0.0841,0.0187,-0.0214,0.1241,0.6705,0.0897,-0.0701,0.0263,0.0406,-0.1057,0.1189
modifier_density,0.0009,0.1012,-0.1243,0.1128,-0.3565,-0.1366,0.0202,-0.0876,0.0987,0.0903,0.0724,-0.0022,-0.1251,0.1111,-0.0536,-0.0317,-0.0035,1.0000,-0.1111,-0.0421,-0.1012,0.2653,-0.0166,-0.0978,0.1171,0.0983,0.0398,0.1713,0.1302
nli_boundary_risk,0.3686,-0.3691,0.2340,-0.6629,-0.0763,0.0097,-0.0598,-0.0141,-0.1179,0.1069,0.0452,-0.0178,0.5650,-1.0000,0.8458,-0.1068,-0.0841,-0.1111,1.0000,0.4673,0.3691,0.1149,0.0027,-0.0786,0.0511,-0.6934,0.0317,0.0919,-0.0824
nli_contradiction_risk,0.9534,-0.5982,0.1697,-0.5642,-0.1516,-0.0953,-0.1506,0.0032,-0.0442,0.0390,0.0323,-0.0715,0.7447,-0.4673,0.0844,-0.0435,0.0187,-0.0421,0.4673,1.0000,0.5982,0.1251,0.0908,-0.1189,-0.0417,-0.8839,0.0105,0.0126,-0.0617
nli_omission_risk,0.5841,-1.0000,0.8783,-0.9046,-0.1357,-0.0614,-0.2490,-0.0747,-0.0993,0.0581,-0.0180,-0.0916,0.3945,-0.3691,0.1919,-0.0969,-0.0214,-0.1012,0.3691,0.5982,1.0000,0.1911,0.0872,-0.1048,-0.0456,-0.8341,-0.0767,0.0273,-0.1679
nominalization_ratio,0.1205,-0.1911,0.1626,-0.1958,-0.2800,0.1722,-0.1607,-0.1030,0.0045,0.0188,-0.0039,0.0659,0.0687,-0.1149,0.0947,-0.0351,0.1241,0.2653,0.1149,0.1251,0.1911,1.0000,0.2655,-0.2067,0.0861,-0.1783,-0.0844,0.0573,-0.1704
normalized_dependency_distance,0.0808,-0.0872,0.0590,-0.0678,-0.4133,0.0416,-0.3101,0.1198,-0.1221,-0.1712,-0.1286,-0.0126,0.0690,-0.0027,-0.0413,0.3390,0.6705,-0.0166,0.0027,0.0908,0.0872,0.2655,1.0000,-0.1196,-0.0404,-0.0822,-0.3280,-0.0454,-0.0937
passive_or_beishi_count,-0.1124,0.1048,-0.0620,0.1047,0.2529,0.0712,0.1763,0.0931,0.0185,-0.1887,-0.0870,-0.0642,-0.0758,0.0786,-0.0462,0.1463,0.0897,-0.0978,-0.0786,-0.1189,-0.1048,-0.2067,-0.1196,1.0000,-0.1300,0.1268,0.2335,-0.1224,0.2339
register_score,-0.0516,0.0456,-0.0253,0.0092,0.0007,-0.0258,0.0594,-0.0677,0.1435,0.1784,0.1009,0.7211,-0.0300,-0.0511,0.0813,-0.0266,-0.0701,0.1171,0.0511,-0.0417,-0.0456,0.0861,-0.0404,-0.1300,1.0000,0.0239,0.0158,0.7098,-0.0035
semantic_fidelity_score,-0.8249,0.8341,-0.5337,0.8673,0.1551,0.0693,0.1985,0.0351,0.1006,-0.0769,-0.0217,0.0795,-0.7033,0.6934,-0.3851,0.0958,0.0263,0.0983,-0.6934,-0.8839,-0.8341,-0.1783,-0.0822,0.1268,0.0239,1.0000,0.0183,-0.0462,0.1277
sentence_compression_ratio,0.0086,0.0767,-0.0989,0.0600,0.4223,0.1797,0.0891,0.1119,0.1853,-0.2974,-0.1808,0.2113,0.0359,-0.0317,0.0152,0.1243,0.0406,0.0398,0.0317,0.0105,-0.0767,-0.0844,-0.3280,0.2335,0.0158,0.0183,1.0000,-0.1921,0.3308
statistical_register_score,0.0179,-0.0273,0.0227,-0.0634,-0.1451,-0.0538,0.0430,-0.0720,-0.0530,0.2491,0.1018,0.0239,-0.0188,-0.0919,0.1234,-0.0777,-0.1057,0.1713,0.0919,0.0126,0.0273,0.0573,-0.0454,-0.1224,0.7098,-0.0462,-0.1921,1.0000,-0.1079
translationese_score,-0.0710,0.1679,-0.1634,0.1731,0.0809,0.0332,0.1079,0.1742,0.1090,-0.0542,0.0055,0.1012,0.0007,0.0824,-0.1003,0.2250,0.1189,0.1302,-0.0824,-0.0617,-0.1679,-0.1704,-0.0937,0.2339,-0.0035,0.1277,0.3308,-0.1079,1.0000
