model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,forward_entailment,-0.026124,0.026422,-0.988706,0.322807,-0.077912,0.025664,False,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,forward_neutral,0.081046,0.030746,2.635991,0.008389,0.020784,0.141308,True,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,forward_contradiction,-0.556927,0.150811,-3.692889,0.000222,-0.852516,-0.261338,True,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_entailment,0.264041,0.05605,4.710841,2e-06,0.154184,0.373898,True,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_neutral,-0.365652,0.065948,-5.544587,0.0,-0.494909,-0.236395,True,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_contradiction,0.259342,0.067915,3.818625,0.000134,0.126229,0.392455,True,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.146858,0.076373,1.922911,0.054491,-0.002833,0.296549,False,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.026122,0.026423,0.98862,0.322849,-0.025666,0.07791,False,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.264035,0.05605,-4.710683,2e-06,-0.373894,-0.154176,True,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.046518,0.059675,-0.779526,0.43567,-0.16348,0.070444,False,0.548333,0.031622,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.090231,0.02402,3.756538,0.000172,0.043152,0.13731,True,0.548333,0.031622,600,200,feature_family_multivariate
