model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,forward_entailment,-0.149313,0.051044,-2.925192,0.003442,-0.249359,-0.049267,True,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,forward_neutral,0.144715,0.065882,2.196577,0.028051,0.015586,0.273844,True,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,forward_contradiction,0.005598,0.143954,0.038888,0.96898,-0.276551,0.287747,False,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_entailment,0.056253,0.047651,1.18052,0.237794,-0.037143,0.149649,False,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_neutral,-0.144239,0.047361,-3.045497,0.002323,-0.237067,-0.051411,True,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_contradiction,0.238954,0.08623,2.771124,0.005586,0.069943,0.407965,True,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,bidirectional_entailment,-0.077592,0.124792,-0.621772,0.534092,-0.322184,0.167,False,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.149327,0.051044,2.92544,0.00344,0.04928,0.249374,True,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.056247,0.047651,-1.180397,0.237842,-0.149643,0.037149,False,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.335888,0.147712,-2.273937,0.02297,-0.625404,-0.046372,True,0.528333,-0.106742,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.125487,0.052399,2.394854,0.016627,0.022786,0.228188,True,0.528333,-0.106742,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_entailment,-0.018356,0.036876,-0.497774,0.618643,-0.090633,0.053921,False,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_neutral,0.002737,0.046694,0.058616,0.953258,-0.088783,0.094257,False,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_contradiction,0.027671,0.091046,0.303923,0.761186,-0.150779,0.206121,False,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_entailment,0.126366,0.054214,2.330886,0.019759,0.020107,0.232625,True,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_neutral,-0.121155,0.05366,-2.257846,0.023955,-0.226328,-0.015982,True,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_contradiction,-0.024149,0.115676,-0.208764,0.834633,-0.250874,0.202576,False,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,bidirectional_entailment,-0.197369,0.15509,-1.272608,0.203157,-0.501346,0.106608,False,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_boundary_risk,0.018352,0.036875,0.497677,0.618711,-0.053924,0.090628,False,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_omission_risk,-0.126363,0.054213,-2.330848,0.019761,-0.232621,-0.020105,True,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.036195,0.154357,0.234489,0.814606,-0.266345,0.338735,False,0.601667,0.298925,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.046585,0.054803,0.850044,0.395301,-0.060829,0.153999,False,0.601667,0.298925,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_entailment,-0.115209,0.048363,-2.382189,0.01721,-0.21,-0.020418,True,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_neutral,0.129161,0.060339,2.140598,0.032306,0.010897,0.247425,True,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_contradiction,-0.027053,0.149182,-0.181342,0.856099,-0.319451,0.265345,False,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,backward_entailment,0.067102,0.047933,1.399916,0.161538,-0.026846,0.16105,False,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,backward_neutral,-0.089586,0.049486,-1.810346,0.070242,-0.186578,0.007406,False,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,backward_contradiction,0.057011,0.119401,0.477476,0.633023,-0.177015,0.291037,False,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,bidirectional_entailment,-0.010823,0.129173,-0.083787,0.933226,-0.264002,0.242356,False,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,nli_boundary_risk,0.115223,0.048363,2.382454,0.017198,0.020431,0.210015,True,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,nli_omission_risk,-0.067095,0.047932,-1.399784,0.161578,-0.161043,0.026853,False,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,nli_contradiction_risk,-0.153272,0.166089,-0.922833,0.356094,-0.478806,0.172262,False,0.525,-0.119307,600,200,feature_family_multivariate
google__gemini-3-flash-preview,semantic_fidelity_score,0.06197,0.058828,1.053409,0.292154,-0.053333,0.177273,False,0.525,-0.119307,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,forward_entailment,-0.116729,0.046825,-2.492889,0.012671,-0.208506,-0.024952,True,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,forward_neutral,0.127158,0.060886,2.088463,0.036756,0.007822,0.246494,True,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,forward_contradiction,-0.020787,0.144784,-0.143572,0.885838,-0.304564,0.26299,False,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,backward_entailment,0.015331,0.046541,0.32941,0.741846,-0.075889,0.106551,False,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,backward_neutral,-0.107481,0.046821,-2.295571,0.0217,-0.19925,-0.015712,True,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,backward_contradiction,0.253612,0.087118,2.911129,0.003601,0.082861,0.424363,True,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,bidirectional_entailment,-0.030865,0.130932,-0.235733,0.81364,-0.287492,0.225762,False,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,nli_boundary_risk,0.11673,0.046826,2.492872,0.012671,0.024952,0.208508,True,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,nli_omission_risk,-0.015329,0.046541,-0.329368,0.741877,-0.106549,0.075891,False,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.313589,0.151518,-2.069652,0.038485,-0.610564,-0.016614,True,0.575,0.131271,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,semantic_fidelity_score,0.105322,0.055873,1.885011,0.059428,-0.00419,0.214834,False,0.575,0.131271,600,200,feature_family_multivariate
openai__gpt-5.2,forward_entailment,-0.101139,0.052152,-1.939324,0.052462,-0.203356,0.001078,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,forward_neutral,0.1252,0.066551,1.881262,0.059936,-0.00524,0.25564,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,forward_contradiction,-0.044931,0.157502,-0.285273,0.775435,-0.353634,0.263772,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,backward_entailment,0.089027,0.051927,1.714468,0.086443,-0.01275,0.190804,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,backward_neutral,-0.112381,0.053615,-2.09609,0.036074,-0.217466,-0.007296,True,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,backward_contradiction,0.057713,0.136351,0.423267,0.6721,-0.209536,0.324962,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,bidirectional_entailment,-0.078786,0.151928,-0.518575,0.604057,-0.376564,0.218992,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,nli_boundary_risk,0.101151,0.052152,1.93953,0.052437,-0.001068,0.20337,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,nli_omission_risk,-0.089024,0.051927,-1.7144,0.086455,-0.190801,0.012753,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,nli_contradiction_risk,-0.131158,0.179419,-0.731015,0.46477,-0.482819,0.220503,False,0.601667,0.24504,600,200,feature_family_multivariate
openai__gpt-5.2,semantic_fidelity_score,0.069581,0.064184,1.084083,0.278328,-0.05622,0.195382,False,0.601667,0.24504,600,200,feature_family_multivariate
