model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,forward_entailment,-0.20964,0.10521,-1.992581,0.046307,-0.415852,-0.003428,True,0.518333,-0.089625,600,200,univariate
anthropic__claude-sonnet-4.6,forward_neutral,0.322094,0.100286,3.21177,0.001319,0.125534,0.518654,True,0.518333,-0.096861,600,200,univariate
anthropic__claude-sonnet-4.6,forward_contradiction,-0.111084,0.129188,-0.859863,0.389864,-0.364292,0.142124,False,0.531667,-0.087752,600,200,univariate
anthropic__claude-sonnet-4.6,backward_entailment,0.215392,0.107147,2.010255,0.044404,0.005385,0.425399,True,0.518333,-0.08756,600,200,univariate
anthropic__claude-sonnet-4.6,backward_neutral,-0.209846,0.108438,-1.935178,0.052969,-0.422384,0.002692,False,0.52,-0.087547,600,200,univariate
anthropic__claude-sonnet-4.6,backward_contradiction,-0.032113,0.098414,-0.326305,0.744194,-0.225005,0.160779,False,0.521667,-0.086739,600,200,univariate
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.07127,0.10421,0.683905,0.494035,-0.132982,0.275522,False,0.52,-0.086813,600,200,univariate
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.209641,0.10521,1.992588,0.046307,0.003429,0.415853,True,0.518333,-0.089625,600,200,univariate
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.215391,0.107146,-2.010249,0.044405,-0.425398,-0.005384,True,0.518333,-0.08756,600,200,univariate
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.12375,0.126102,-0.981347,0.326422,-0.37091,0.12341,False,0.525,-0.087281,600,200,univariate
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.093901,0.106093,0.885083,0.376112,-0.114041,0.301843,False,0.513333,-0.086862,600,200,univariate
deepseek__deepseek-v4-flash,forward_entailment,-0.059253,0.076289,-0.776687,0.437344,-0.20878,0.090274,False,0.578333,0.29566,600,200,univariate
deepseek__deepseek-v4-flash,forward_neutral,0.05848,0.080733,0.72436,0.468845,-0.099757,0.216717,False,0.575,0.295634,600,200,univariate
deepseek__deepseek-v4-flash,forward_contradiction,-0.000144,0.090446,-0.001592,0.99873,-0.177418,0.17713,False,0.573333,0.295464,600,200,univariate
deepseek__deepseek-v4-flash,backward_entailment,0.205341,0.121971,1.683523,0.092274,-0.033722,0.444404,False,0.593333,0.298244,600,200,univariate
deepseek__deepseek-v4-flash,backward_neutral,-0.206507,0.125284,-1.648313,0.099289,-0.452063,0.039049,False,0.596667,0.298203,600,200,univariate
deepseek__deepseek-v4-flash,backward_contradiction,-0.015256,0.046543,-0.32778,0.743078,-0.106481,0.075969,False,0.573333,0.295482,600,200,univariate
deepseek__deepseek-v4-flash,bidirectional_entailment,0.111086,0.110244,1.007638,0.313628,-0.104992,0.327164,False,0.583333,0.296403,600,200,univariate
deepseek__deepseek-v4-flash,nli_boundary_risk,0.059253,0.076289,0.776687,0.437343,-0.090274,0.20878,False,0.578333,0.29566,600,200,univariate
deepseek__deepseek-v4-flash,nli_omission_risk,-0.205341,0.121971,-1.683523,0.092274,-0.444404,0.033722,False,0.593333,0.298244,600,200,univariate
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.013394,0.084474,-0.158558,0.874017,-0.178963,0.152175,False,0.573333,0.295477,600,200,univariate
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.092135,0.092094,1.000445,0.317095,-0.088369,0.272639,False,0.571667,0.296104,600,200,univariate
google__gemini-3-flash-preview,forward_entailment,-0.171023,0.096249,-1.776876,0.075589,-0.359672,0.017626,False,0.52,-0.108673,600,200,univariate
google__gemini-3-flash-preview,forward_neutral,0.269302,0.08909,3.022823,0.002504,0.094686,0.443918,True,0.52,-0.11378,600,200,univariate
google__gemini-3-flash-preview,forward_contradiction,-0.119571,0.139395,-0.857785,0.391011,-0.392785,0.153643,False,0.535,-0.108056,600,200,univariate
google__gemini-3-flash-preview,backward_entailment,0.216766,0.105315,2.058257,0.039565,0.010348,0.423184,True,0.52,-0.107822,600,200,univariate
google__gemini-3-flash-preview,backward_neutral,-0.189841,0.102636,-1.849649,0.064364,-0.391008,0.011326,False,0.516667,-0.107619,600,200,univariate
google__gemini-3-flash-preview,backward_contradiction,-0.083683,0.118044,-0.708914,0.478378,-0.315049,0.147683,False,0.525,-0.106877,600,200,univariate
google__gemini-3-flash-preview,bidirectional_entailment,0.083344,0.102117,0.816163,0.414407,-0.116805,0.283493,False,0.525,-0.106923,600,200,univariate
google__gemini-3-flash-preview,nli_boundary_risk,0.171024,0.096249,1.776885,0.075587,-0.017625,0.359673,False,0.52,-0.108673,600,200,univariate
google__gemini-3-flash-preview,nli_omission_risk,-0.216766,0.105315,-2.058257,0.039565,-0.423184,-0.010348,True,0.52,-0.107822,600,200,univariate
