model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,forward_entailment,-0.113887,0.050031,-2.276327,0.022826,-0.211948,-0.015826,True,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,forward_neutral,0.104447,0.05289,1.974786,0.048292,0.000782,0.208112,True,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,forward_contradiction,0.076232,0.090376,0.843495,0.398952,-0.100906,0.25337,False,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_entailment,0.084687,0.069657,1.215776,0.22407,-0.05184,0.221214,False,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_neutral,-0.075037,0.077124,-0.972939,0.330583,-0.2262,0.076126,False,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_contradiction,-0.052821,0.073973,-0.714054,0.475194,-0.197809,0.092167,False,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.325595,0.19418,1.676768,0.093588,-0.054998,0.706188,False,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.113886,0.050031,2.276303,0.022828,0.015825,0.211947,True,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.084678,0.069656,-1.215665,0.224113,-0.221203,0.051847,False,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.097548,0.068517,-1.423708,0.154531,-0.231841,0.036745,False,0.533333,0.038688,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,semantic_fidelity_score,-0.01865,0.058829,-0.317022,0.751227,-0.133954,0.096654,False,0.533333,0.038688,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_entailment,0.054629,0.039999,1.36576,0.172014,-0.023769,0.133027,False,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_neutral,-0.069732,0.044205,-1.577474,0.114686,-0.156373,0.016909,False,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_contradiction,0.100526,0.087879,1.143912,0.25266,-0.071717,0.272769,False,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_entailment,0.334822,0.062291,5.375086,0.0,0.212731,0.456913,True,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_neutral,-0.359269,0.068236,-5.26508,0.0,-0.493012,-0.225526,True,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_contradiction,0.065397,0.069359,0.942883,0.345741,-0.070546,0.20134,False,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,bidirectional_entailment,0.18189,0.045529,3.995028,6.5e-05,0.092653,0.271127,True,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.054625,0.039999,-1.365658,0.172046,-0.133023,0.023773,False,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_omission_risk,-0.334801,0.062291,-5.374777,0.0,-0.456892,-0.21271,True,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.002889,0.057534,-0.050213,0.959952,-0.115657,0.109879,False,0.608333,0.223854,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.184792,0.027403,6.743596,0.0,0.131083,0.238501,True,0.608333,0.223854,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_entailment,-0.000503,0.039067,-0.012875,0.989727,-0.077075,0.076069,False,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_neutral,0.003443,0.042941,0.08018,0.936094,-0.080722,0.087608,False,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_contradiction,-0.020408,0.08305,-0.245732,0.80589,-0.183186,0.14237,False,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,backward_entailment,0.098622,0.059624,1.654069,0.098114,-0.018241,0.215485,False,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,backward_neutral,-0.157795,0.066532,-2.371705,0.017706,-0.288198,-0.027392,True,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,backward_contradiction,0.247048,0.076614,3.22459,0.001262,0.096885,0.397211,True,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,bidirectional_entailment,-0.063206,0.113803,-0.555398,0.578623,-0.28626,0.159848,False,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,nli_boundary_risk,0.000513,0.039066,0.013132,0.989523,-0.076057,0.077083,False,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,nli_omission_risk,-0.098602,0.059623,-1.653756,0.098177,-0.215463,0.018259,False,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,nli_contradiction_risk,0.049758,0.063893,0.778772,0.436114,-0.075472,0.174988,False,0.586667,-0.325517,600,200,feature_family_multivariate
google__gemini-3-flash-preview,semantic_fidelity_score,0.028287,0.0235,1.203688,0.22871,-0.017774,0.074348,False,0.586667,-0.325517,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,forward_entailment,-0.103321,0.046223,-2.235296,0.025398,-0.193917,-0.012725,True,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,forward_neutral,0.10006,0.048667,2.056034,0.039779,0.004674,0.195446,True,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,forward_contradiction,0.032216,0.091585,0.351761,0.725018,-0.147291,0.211723,False,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,backward_entailment,0.081149,0.066135,1.227014,0.219817,-0.048476,0.210774,False,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,backward_neutral,-0.103502,0.073522,-1.407768,0.1592,-0.247605,0.040601,False,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,backward_contradiction,0.087792,0.056524,1.553185,0.120379,-0.022995,0.198579,False,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,bidirectional_entailment,0.331534,0.177354,1.86934,0.061576,-0.016079,0.679147,False,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,nli_boundary_risk,0.103332,0.046223,2.235519,0.025383,0.012735,0.193929,True,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,nli_omission_risk,-0.081152,0.066135,-1.227065,0.219798,-0.210777,0.048473,False,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.037058,0.068338,-0.542278,0.587627,-0.171,0.096884,False,0.62,0.444085,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,semantic_fidelity_score,-0.029432,0.053925,-0.545792,0.585209,-0.135126,0.076262,False,0.62,0.444085,600,200,feature_family_multivariate
openai__gpt-5.2,forward_entailment,-0.044012,0.050813,-0.866161,0.386402,-0.143605,0.055581,False,0.53,0.073325,600,200,feature_family_multivariate
