model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,n_pairwise_observations,n_clusters
anthropic__claude-sonnet-4.6,intercept,-0.135523,0.101373,-1.336872,0.181265,-0.334214,0.063168,False,0.695,600,200
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.148196,0.115169,1.286768,0.198175,-0.077535,0.373926,False,0.695,600,200
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.170592,0.131615,1.296136,0.194929,-0.087375,0.428558,False,0.695,600,200
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.100912,0.094455,1.06836,0.285358,-0.08422,0.286045,False,0.695,600,200
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.275239,0.121948,-2.257009,0.024007,-0.514257,-0.03622,True,0.695,600,200
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.15812,0.110816,-1.426868,0.153618,-0.375321,0.05908,False,0.695,600,200
anthropic__claude-sonnet-4.6,dependency_depth,-0.03307,0.097673,-0.338581,0.734925,-0.22451,0.158369,False,0.695,600,200
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.247173,0.140188,1.763157,0.077874,-0.027595,0.521942,False,0.695,600,200
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.190492,0.152222,-1.251403,0.210787,-0.488847,0.107864,False,0.695,600,200
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.311504,0.146615,-2.124634,0.033617,-0.59887,-0.024138,True,0.695,600,200
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.448876,0.112123,-4.003426,6.2e-05,-0.668637,-0.229115,True,0.695,600,200
anthropic__claude-sonnet-4.6,extra_entity_count,-0.140086,0.108591,-1.290035,0.197038,-0.352924,0.072752,False,0.695,600,200
anthropic__claude-sonnet-4.6,register_score,0.097922,0.105491,0.928245,0.35328,-0.108841,0.304685,False,0.695,600,200
anthropic__claude-sonnet-4.6,translationese_score,-0.805521,0.115158,-6.994941,0.0,-1.03123,-0.579812,True,0.695,600,200
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,-0.001759,0.128468,-0.013693,0.989075,-0.253556,0.250038,False,0.695,600,200
deepseek__deepseek-v4-flash,intercept,0.337738,0.097705,3.456726,0.000547,0.146237,0.529239,True,0.733333,600,200
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.129449,0.128274,1.009155,0.3129,-0.121969,0.380866,False,0.733333,600,200
deepseek__deepseek-v4-flash,bidirectional_entailment,0.342999,0.13939,2.46072,0.013866,0.069795,0.616203,True,0.733333,600,200
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.157255,0.220885,-0.711931,0.476507,-0.590188,0.275679,False,0.733333,600,200
deepseek__deepseek-v4-flash,nli_omission_risk,-0.140907,0.137261,-1.026568,0.304624,-0.409938,0.128123,False,0.733333,600,200
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.165021,0.135443,1.21838,0.22308,-0.100447,0.430489,False,0.733333,600,200
deepseek__deepseek-v4-flash,dependency_depth,-0.057844,0.105201,-0.549844,0.582427,-0.264038,0.14835,False,0.733333,600,200
deepseek__deepseek-v4-flash,mean_dependency_distance,0.260438,0.142901,1.8225,0.068379,-0.019649,0.540525,False,0.733333,600,200
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.18718,0.153802,-1.21702,0.223597,-0.488632,0.114272,False,0.733333,600,200
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.434595,0.151278,-2.87282,0.004068,-0.7311,-0.13809,True,0.733333,600,200
deepseek__deepseek-v4-flash,extra_number_ratio,-0.413226,0.128915,-3.205406,0.001349,-0.6659,-0.160552,True,0.733333,600,200
deepseek__deepseek-v4-flash,extra_entity_count,-0.059086,0.109566,-0.539274,0.589698,-0.273835,0.155663,False,0.733333,600,200
