model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,embedding_similarity,-0.006777,0.099953,-0.067802,0.945943,-0.202684,0.18913,False,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_number_count,0.001697,0.188605,0.008998,0.992821,-0.367969,0.371363,False,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.461304,0.193056,-2.389478,0.016872,-0.839694,-0.082914,True,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_entity_count,-0.12928,0.11968,-1.080216,0.280046,-0.363852,0.105292,False,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,specificity_expansion,0.016257,0.184984,0.087883,0.929969,-0.346311,0.378825,False,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,financial_register_score,-0.041872,0.095587,-0.438049,0.661351,-0.229223,0.145479,False,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,statistical_register_score,0.06173,0.06106,1.010967,0.312032,-0.057948,0.181408,False,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,register_score,0.039554,0.050164,0.788495,0.430407,-0.058767,0.137875,False,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,syntactic_complexity,0.150068,0.109021,1.376511,0.168663,-0.063612,0.363748,False,0.675,-0.119755,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,translationese_score,-0.788073,0.115249,-6.837982,0.0,-1.013962,-0.562184,True,0.675,-0.119755,600,200,feature_family_multivariate
google__gemini-3-flash-preview,embedding_similarity,-0.10808,0.104743,-1.031861,0.302137,-0.313376,0.097216,False,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_count,0.019763,0.145018,0.13628,0.8916,-0.264471,0.303997,False,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_ratio,-0.403066,0.196055,-2.055881,0.039794,-0.787334,-0.018798,True,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_entity_count,-0.001532,0.126004,-0.012158,0.990299,-0.2485,0.245436,False,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,specificity_expansion,-0.008202,0.191459,-0.042839,0.96583,-0.383462,0.367058,False,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,financial_register_score,-0.088048,0.095594,-0.921067,0.357016,-0.275411,0.099315,False,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,statistical_register_score,0.052479,0.059382,0.883751,0.376831,-0.06391,0.168868,False,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,register_score,0.013163,0.050664,0.259809,0.795011,-0.086139,0.112465,False,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,syntactic_complexity,0.075914,0.109925,0.6906,0.489817,-0.139538,0.291366,False,0.691667,-0.051378,600,200,feature_family_multivariate
google__gemini-3-flash-preview,translationese_score,-0.804734,0.118428,-6.79511,0.0,-1.036854,-0.572614,True,0.691667,-0.051378,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,embedding_similarity,-0.091293,0.114593,-0.796671,0.425642,-0.315896,0.13331,False,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_count,-0.073752,0.201053,-0.366829,0.713747,-0.467816,0.320312,False,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_ratio,-0.5647,0.194456,-2.904,0.003684,-0.945834,-0.183566,True,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_entity_count,-0.17895,0.113047,-1.582972,0.113428,-0.400522,0.042622,False,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,specificity_expansion,0.236146,0.184207,1.281961,0.199856,-0.124899,0.597191,False,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,financial_register_score,0.021496,0.088296,0.243454,0.807653,-0.151564,0.194556,False,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,statistical_register_score,0.023322,0.058279,0.400176,0.689027,-0.090905,0.137549,False,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,register_score,0.029501,0.049262,0.598859,0.549267,-0.067053,0.126055,False,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,syntactic_complexity,-0.03815,0.111285,-0.342812,0.73174,-0.25627,0.17997,False,0.698333,0.40805,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,translationese_score,-0.747847,0.137039,-5.457176,0.0,-1.016444,-0.47925,True,0.698333,0.40805,600,200,feature_family_multivariate
openai__gpt-5.2,embedding_similarity,0.005091,0.094935,0.053626,0.957233,-0.180982,0.191164,False,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,extra_number_count,0.032345,0.127387,0.253911,0.799564,-0.217334,0.282024,False,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,extra_number_ratio,-0.405654,0.166044,-2.443055,0.014564,-0.7311,-0.080208,True,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,extra_entity_count,-0.080207,0.12189,-0.658025,0.510522,-0.319112,0.158698,False,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,specificity_expansion,0.055893,0.179453,0.311463,0.755449,-0.295835,0.407621,False,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,financial_register_score,-0.008947,0.076377,-0.117143,0.906747,-0.158646,0.140752,False,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,statistical_register_score,-0.016275,0.057065,-0.285203,0.775489,-0.128122,0.095572,False,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,register_score,-0.018225,0.046145,-0.394951,0.692879,-0.108669,0.072219,False,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,syntactic_complexity,0.106823,0.104396,1.023244,0.306193,-0.097794,0.31144,False,0.701667,0.483822,600,200,feature_family_multivariate
openai__gpt-5.2,translationese_score,-0.747844,0.132733,-5.634196,0.0,-1.008001,-0.487687,True,0.701667,0.483822,600,200,feature_family_multivariate
