model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,clause_count,0.170555,0.102608,1.662205,0.096472,-0.030556,0.371666,False,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,dependency_depth,-0.060033,0.100644,-0.596487,0.55085,-0.257296,0.13723,False,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,mean_dependency_distance,-0.101408,0.168535,-0.601703,0.547372,-0.431736,0.22892,False,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,max_dependency_distance,0.127489,0.122495,1.040771,0.297982,-0.112601,0.367579,False,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,normalized_dependency_distance,0.091378,0.175035,0.522057,0.601631,-0.25169,0.434446,False,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nominalization_ratio,0.224045,0.107112,2.091696,0.036466,0.014106,0.433984,True,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,modifier_density,0.242774,0.112903,2.150279,0.031533,0.021483,0.464065,True,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,coordination_count,0.042044,0.103388,0.40666,0.684257,-0.160597,0.244685,False,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.328395,0.103029,-3.187417,0.001435,-0.530331,-0.126459,True,0.616667,-0.096337,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,sentence_compression_ratio,0.290676,0.123158,2.360182,0.018266,0.049286,0.532066,True,0.616667,-0.096337,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,clause_count,0.088398,0.105917,0.834598,0.403944,-0.119199,0.295995,False,0.613333,0.309332,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,dependency_depth,-0.152543,0.101052,-1.50955,0.131158,-0.350605,0.045519,False,0.613333,0.309332,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,mean_dependency_distance,-0.102741,0.165602,-0.62041,0.534988,-0.427321,0.221839,False,0.613333,0.309332,600,200,feature_family_multivariate
