model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,clause_count,0.008542,0.116178,0.073525,0.941388,-0.219168,0.236252,False,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,dependency_depth,-0.067735,0.094401,-0.717527,0.473049,-0.25276,0.11729,False,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.298715,0.172347,1.73322,0.083057,-0.039085,0.636515,False,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,max_dependency_distance,0.022807,0.116182,0.196304,0.844372,-0.20491,0.250524,False,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.28851,0.226569,-1.273388,0.202881,-0.732585,0.155565,False,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nominalization_ratio,0.182095,0.101451,1.794909,0.072668,-0.016749,0.380939,False,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,modifier_density,-0.069701,0.107003,-0.651391,0.514794,-0.279428,0.140026,False,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,coordination_count,0.210972,0.106468,1.981555,0.047529,0.002295,0.419649,True,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.286976,0.105373,-2.72343,0.006461,-0.493507,-0.080445,True,0.603333,-0.129006,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.432566,0.1556,-2.779995,0.005436,-0.737541,-0.127591,True,0.603333,-0.129006,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,clause_count,0.05467,0.119819,0.456273,0.648194,-0.180175,0.289515,False,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,dependency_depth,-0.086098,0.102358,-0.841143,0.400268,-0.28672,0.114524,False,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,mean_dependency_distance,0.297328,0.206746,1.438134,0.150396,-0.107893,0.702549,False,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,max_dependency_distance,0.097006,0.121286,0.799811,0.42382,-0.140715,0.334727,False,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.290993,0.294652,-0.987581,0.323358,-0.868512,0.286526,False,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nominalization_ratio,0.171415,0.108774,1.575881,0.115053,-0.041782,0.384612,False,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,modifier_density,-0.054164,0.114341,-0.473707,0.635709,-0.278272,0.169944,False,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,coordination_count,0.165119,0.113336,1.456901,0.145144,-0.057019,0.387257,False,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.311522,0.112171,-2.777199,0.005483,-0.531378,-0.091666,True,0.648333,0.277411,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.58699,0.172792,-3.397097,0.000681,-0.925662,-0.248318,True,0.648333,0.277411,600,200,feature_family_multivariate
google__gemini-3-flash-preview,clause_count,0.125322,0.116723,1.073672,0.28297,-0.103455,0.354099,False,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,dependency_depth,-0.047204,0.099648,-0.47371,0.635707,-0.242513,0.148105,False,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,mean_dependency_distance,0.261074,0.186206,1.402073,0.160894,-0.103889,0.626037,False,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,max_dependency_distance,0.156195,0.126511,1.234636,0.216966,-0.091766,0.404156,False,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,normalized_dependency_distance,-0.394948,0.231062,-1.709272,0.087401,-0.84783,0.057934,False,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,nominalization_ratio,0.255945,0.106024,2.414027,0.015777,0.048138,0.463752,True,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,modifier_density,0.066911,0.11407,0.586579,0.557487,-0.156666,0.290488,False,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,coordination_count,0.239076,0.11145,2.145148,0.031941,0.020635,0.457517,True,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,passive_or_beishi_count,-0.243166,0.103736,-2.344082,0.019074,-0.446489,-0.039843,True,0.633333,-0.068202,600,200,feature_family_multivariate
google__gemini-3-flash-preview,sentence_compression_ratio,-0.708462,0.169679,-4.175302,3e-05,-1.041033,-0.375891,True,0.633333,-0.068202,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,clause_count,0.049031,0.121155,0.404695,0.685702,-0.188434,0.286496,False,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,dependency_depth,-0.142946,0.101919,-1.402551,0.160751,-0.342706,0.056814,False,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,mean_dependency_distance,0.162573,0.192218,0.845773,0.397679,-0.214175,0.539321,False,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,max_dependency_distance,0.155672,0.130798,1.190174,0.233978,-0.100691,0.412035,False,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.270349,0.255281,-1.059025,0.289588,-0.7707,0.230002,False,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,nominalization_ratio,0.25256,0.108414,2.329584,0.019828,0.040068,0.465052,True,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,modifier_density,0.150052,0.119016,1.260771,0.207391,-0.083219,0.383323,False,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,coordination_count,0.163714,0.114372,1.43142,0.15231,-0.060455,0.387883,False,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,passive_or_beishi_count,-0.223954,0.108546,-2.063217,0.039092,-0.436704,-0.011204,True,0.643333,0.358053,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,sentence_compression_ratio,-0.560319,0.172174,-3.254371,0.001136,-0.897781,-0.222857,True,0.643333,0.358053,600,200,feature_family_multivariate
openai__gpt-5.2,clause_count,0.03195,0.11437,0.279355,0.779972,-0.192216,0.256116,False,0.651667,0.43926,600,200,feature_family_multivariate
openai__gpt-5.2,dependency_depth,-0.235721,0.098934,-2.38262,0.01719,-0.429631,-0.041811,True,0.651667,0.43926,600,200,feature_family_multivariate
