model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,extra_number_count,-0.145923,0.166633,-0.875713,0.381186,-0.472524,0.180678,False,0.641667,-0.090292,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.24774,0.255104,-0.971132,0.331483,-0.747745,0.252265,False,0.641667,-0.090292,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_entity_count,-0.058488,0.09255,-0.631963,0.527411,-0.239885,0.122909,False,0.641667,-0.090292,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,financial_register_score,-0.114963,0.10099,-1.138364,0.254969,-0.312903,0.082977,False,0.641667,-0.090292,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,statistical_register_score,0.171162,0.061679,2.775034,0.00552,0.050271,0.292053,True,0.641667,-0.090292,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,register_score,0.10891,0.052514,2.073907,0.038088,0.005982,0.211838,True,0.641667,-0.090292,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,translationese_score,-0.582399,0.09332,-6.240854,0.0,-0.765307,-0.399491,True,0.641667,-0.090292,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_number_count,0.197581,0.140408,1.407196,0.159369,-0.077618,0.47278,False,0.628333,0.32752,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_number_ratio,-0.427184,0.152113,-2.808332,0.00498,-0.725326,-0.129042,True,0.628333,0.32752,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_entity_count,-0.05645,0.093665,-0.602681,0.546721,-0.240033,0.127133,False,0.628333,0.32752,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,financial_register_score,-0.023232,0.084573,-0.274699,0.783547,-0.188994,0.14253,False,0.628333,0.32752,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,statistical_register_score,0.067755,0.060778,1.114801,0.264936,-0.051369,0.186879,False,0.628333,0.32752,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,register_score,0.05277,0.050945,1.035825,0.300284,-0.047082,0.152622,False,0.628333,0.32752,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,translationese_score,-0.555001,0.094273,-5.887152,0.0,-0.739777,-0.370225,True,0.628333,0.32752,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_count,0.03774,0.130431,0.289347,0.772316,-0.217906,0.293386,False,0.673333,-0.110302,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_ratio,-0.356077,0.23947,-1.48694,0.137031,-0.825437,0.113283,False,0.673333,-0.110302,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_entity_count,-0.127508,0.094578,-1.348178,0.177601,-0.312881,0.057865,False,0.673333,-0.110302,600,200,feature_family_multivariate
google__gemini-3-flash-preview,financial_register_score,0.018483,0.081722,0.226168,0.82107,-0.141693,0.178659,False,0.673333,-0.110302,600,200,feature_family_multivariate
google__gemini-3-flash-preview,statistical_register_score,0.114463,0.057573,1.98814,0.046796,0.00162,0.227306,True,0.673333,-0.110302,600,200,feature_family_multivariate
google__gemini-3-flash-preview,register_score,0.114187,0.051991,2.196273,0.028072,0.012284,0.21609,True,0.673333,-0.110302,600,200,feature_family_multivariate
google__gemini-3-flash-preview,translationese_score,-0.634903,0.094161,-6.742739,0.0,-0.819459,-0.450347,True,0.673333,-0.110302,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_count,0.199486,0.148398,1.344262,0.178864,-0.091374,0.490346,False,0.675,0.172828,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_ratio,-0.533342,0.18928,-2.817742,0.004836,-0.904331,-0.162353,True,0.675,0.172828,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_entity_count,-0.137754,0.088825,-1.550842,0.12094,-0.311852,0.036344,False,0.675,0.172828,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,financial_register_score,-0.030299,0.106487,-0.284532,0.776003,-0.239014,0.178416,False,0.675,0.172828,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,statistical_register_score,0.13601,0.061163,2.223745,0.026166,0.016131,0.255889,True,0.675,0.172828,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,register_score,0.113021,0.051869,2.178989,0.029332,0.011359,0.214683,True,0.675,0.172828,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,translationese_score,-0.69374,0.09053,-7.663068,0.0,-0.871179,-0.516301,True,0.675,0.172828,600,200,feature_family_multivariate
openai__gpt-5.2,extra_number_count,0.15739,0.156288,1.007049,0.313911,-0.148935,0.463715,False,0.653333,0.276954,600,200,feature_family_multivariate
openai__gpt-5.2,extra_number_ratio,-0.343689,0.213094,-1.61285,0.106777,-0.761354,0.073976,False,0.653333,0.276954,600,200,feature_family_multivariate
openai__gpt-5.2,extra_entity_count,-0.113644,0.08868,-1.281512,0.200014,-0.287456,0.060168,False,0.653333,0.276954,600,200,feature_family_multivariate
openai__gpt-5.2,financial_register_score,-0.125816,0.087819,-1.432678,0.15195,-0.297941,0.046309,False,0.653333,0.276954,600,200,feature_family_multivariate
openai__gpt-5.2,statistical_register_score,0.129547,0.06006,2.156959,0.031009,0.011829,0.247265,True,0.653333,0.276954,600,200,feature_family_multivariate
openai__gpt-5.2,register_score,0.065602,0.051481,1.274305,0.202555,-0.0353,0.166504,False,0.653333,0.276954,600,200,feature_family_multivariate
openai__gpt-5.2,translationese_score,-0.594535,0.098713,-6.022844,0.0,-0.788013,-0.401057,True,0.653333,0.276954,600,200,feature_family_multivariate
