model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,extra_number_count,0.001884,0.180332,0.010447,0.991664,-0.351567,0.355335,False,0.68,-0.116978,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.456536,0.168182,-2.714535,0.006637,-0.786173,-0.126899,True,0.68,-0.116978,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_entity_count,-0.119237,0.106638,-1.118144,0.263505,-0.328248,0.089774,False,0.68,-0.116978,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,financial_register_score,-0.041441,0.095117,-0.435686,0.663065,-0.22787,0.144988,False,0.68,-0.116978,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,statistical_register_score,0.059952,0.061596,0.973317,0.330396,-0.060775,0.180679,False,0.68,-0.116978,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,register_score,0.038112,0.05039,0.756339,0.449446,-0.060653,0.136877,False,0.68,-0.116978,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,translationese_score,-0.757994,0.114608,-6.613774,0.0,-0.982626,-0.533362,True,0.68,-0.116978,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_number_count,-0.156864,0.1835,-0.854844,0.392638,-0.516524,0.202796,False,0.705,0.322451,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_number_ratio,-0.273269,0.161992,-1.686929,0.091617,-0.590773,0.044235,False,0.705,0.322451,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_entity_count,-0.054915,0.106989,-0.513278,0.607757,-0.264613,0.154783,False,0.705,0.322451,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,financial_register_score,-0.002555,0.098373,-0.025973,0.979279,-0.195366,0.190256,False,0.705,0.322451,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,statistical_register_score,-0.003408,0.058113,-0.058644,0.953236,-0.11731,0.110494,False,0.705,0.322451,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,register_score,-0.004082,0.048083,-0.084895,0.932345,-0.098324,0.09016,False,0.705,0.322451,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,translationese_score,-0.863079,0.132999,-6.489348,0.0,-1.123758,-0.6024,True,0.705,0.322451,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_count,0.02324,0.134902,0.172274,0.863222,-0.241167,0.287647,False,0.678333,-0.049951,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_ratio,-0.401446,0.172729,-2.324143,0.020118,-0.739994,-0.062898,True,0.678333,-0.049951,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_entity_count,-0.012342,0.116476,-0.105962,0.915612,-0.240634,0.21595,False,0.678333,-0.049951,600,200,feature_family_multivariate
google__gemini-3-flash-preview,financial_register_score,-0.085473,0.09371,-0.912103,0.361714,-0.269144,0.098198,False,0.678333,-0.049951,600,200,feature_family_multivariate
google__gemini-3-flash-preview,statistical_register_score,0.051659,0.059276,0.871504,0.383479,-0.064521,0.167839,False,0.678333,-0.049951,600,200,feature_family_multivariate
google__gemini-3-flash-preview,register_score,0.013425,0.050454,0.266084,0.790175,-0.085465,0.112315,False,0.678333,-0.049951,600,200,feature_family_multivariate
google__gemini-3-flash-preview,translationese_score,-0.813191,0.11891,-6.838717,0.0,-1.046254,-0.580128,True,0.678333,-0.049951,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_count,-0.012794,0.189965,-0.067349,0.946304,-0.385125,0.359537,False,0.691667,0.405199,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_ratio,-0.417157,0.148501,-2.809119,0.004968,-0.708219,-0.126095,True,0.691667,0.405199,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_entity_count,-0.114776,0.107618,-1.066511,0.286193,-0.325708,0.096156,False,0.691667,0.405199,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,financial_register_score,0.014144,0.090044,0.157079,0.875182,-0.162342,0.19063,False,0.691667,0.405199,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,statistical_register_score,0.021815,0.058737,0.371402,0.710338,-0.093309,0.136939,False,0.691667,0.405199,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,register_score,0.025269,0.049769,0.507722,0.611648,-0.072279,0.122817,False,0.691667,0.405199,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,translationese_score,-0.775126,0.137336,-5.644031,0.0,-1.044304,-0.505948,True,0.691667,0.405199,600,200,feature_family_multivariate
openai__gpt-5.2,extra_number_count,0.041799,0.124798,0.334933,0.737676,-0.202805,0.286403,False,0.695,0.484358,600,200,feature_family_multivariate
openai__gpt-5.2,extra_number_ratio,-0.378948,0.129012,-2.937317,0.003311,-0.631811,-0.126085,True,0.695,0.484358,600,200,feature_family_multivariate
openai__gpt-5.2,extra_entity_count,-0.057744,0.11216,-0.514836,0.606668,-0.277578,0.16209,False,0.695,0.484358,600,200,feature_family_multivariate
openai__gpt-5.2,financial_register_score,-0.009975,0.076573,-0.130268,0.896354,-0.160058,0.140108,False,0.695,0.484358,600,200,feature_family_multivariate
openai__gpt-5.2,statistical_register_score,-0.018241,0.056894,-0.320613,0.748504,-0.129754,0.093272,False,0.695,0.484358,600,200,feature_family_multivariate
openai__gpt-5.2,register_score,-0.020407,0.045876,-0.444833,0.65644,-0.110323,0.069509,False,0.695,0.484358,600,200,feature_family_multivariate
openai__gpt-5.2,translationese_score,-0.726297,0.133834,-5.426863,0.0,-0.988611,-0.463983,True,0.695,0.484358,600,200,feature_family_multivariate
