model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,forward_entailment,-0.021143,0.080406,-0.262954,0.792586,-0.178738,0.136452,False,0.515,0.04001,600,200,univariate
anthropic__claude-sonnet-4.6,forward_neutral,0.021842,0.082429,0.264978,0.791026,-0.13972,0.183404,False,0.516667,0.04001,600,200,univariate
anthropic__claude-sonnet-4.6,forward_contradiction,-0.00295,0.108357,-0.027225,0.97828,-0.21533,0.20943,False,0.51,0.040005,600,200,univariate
anthropic__claude-sonnet-4.6,backward_entailment,0.339897,0.188646,1.801772,0.071581,-0.029849,0.709643,False,0.526667,0.035972,600,200,univariate
anthropic__claude-sonnet-4.6,backward_neutral,-0.308935,0.18179,-1.699401,0.089244,-0.665244,0.047374,False,0.53,0.036462,600,200,univariate
anthropic__claude-sonnet-4.6,backward_contradiction,-0.153966,0.057162,-2.6935,0.007071,-0.266004,-0.041928,True,0.51,0.040091,600,200,univariate
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.092439,0.08896,1.039102,0.298757,-0.081924,0.266802,False,0.521667,0.04007,600,200,univariate
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.021143,0.080406,0.262954,0.792586,-0.136452,0.178738,False,0.515,0.04001,600,200,univariate
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.339896,0.188645,-1.801778,0.07158,-0.70964,0.029848,False,0.526667,0.035972,600,200,univariate
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.077547,0.100786,-0.769425,0.441641,-0.275087,0.119993,False,0.505,0.040061,600,200,univariate
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.107613,0.083993,1.281217,0.200117,-0.057013,0.272239,False,0.521667,0.039986,600,200,univariate
deepseek__deepseek-v4-flash,forward_entailment,0.457158,0.12425,3.679331,0.000234,0.213627,0.700689,True,0.588333,0.246813,600,200,univariate
deepseek__deepseek-v4-flash,forward_neutral,-0.474537,0.136587,-3.474237,0.000512,-0.742248,-0.206826,True,0.59,0.247537,600,200,univariate
deepseek__deepseek-v4-flash,forward_contradiction,-0.026717,0.109316,-0.244402,0.806919,-0.240976,0.187542,False,0.56,0.241205,600,200,univariate
deepseek__deepseek-v4-flash,backward_entailment,0.709424,0.119214,5.950868,0.0,0.475765,0.943083,True,0.58,0.232123,600,200,univariate
deepseek__deepseek-v4-flash,backward_neutral,-0.719775,0.13084,-5.501181,0.0,-0.976222,-0.463328,True,0.578333,0.230749,600,200,univariate
deepseek__deepseek-v4-flash,backward_contradiction,-0.145924,0.059729,-2.443083,0.014562,-0.262994,-0.028854,True,0.561667,0.241742,600,200,univariate
deepseek__deepseek-v4-flash,bidirectional_entailment,0.595906,0.139999,4.256491,2.1e-05,0.321507,0.870305,True,0.598333,0.248677,600,200,univariate
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.457158,0.12425,-3.679332,0.000234,-0.700689,-0.213627,True,0.588333,0.246813,600,200,univariate
deepseek__deepseek-v4-flash,nli_omission_risk,-0.709412,0.119212,-5.950835,0.0,-0.943068,-0.475756,True,0.58,0.232123,600,200,univariate
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.096387,0.10612,-0.908282,0.363729,-0.304382,0.111608,False,0.56,0.24165,600,200,univariate
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.577925,0.130848,4.416768,1e-05,0.321463,0.834387,True,0.6,0.243525,600,200,univariate
google__gemini-3-flash-preview,forward_entailment,-0.01316,0.096872,-0.135849,0.891941,-0.20303,0.17671,False,0.578333,-0.315949,600,200,univariate
google__gemini-3-flash-preview,forward_neutral,0.010042,0.099161,0.101269,0.919337,-0.184314,0.204398,False,0.578333,-0.315943,600,200,univariate
google__gemini-3-flash-preview,forward_contradiction,0.023094,0.117681,0.196242,0.84442,-0.207561,0.253749,False,0.578333,-0.315977,600,200,univariate
google__gemini-3-flash-preview,backward_entailment,0.218393,0.122736,1.779369,0.075179,-0.02217,0.458956,False,0.583333,-0.320163,600,200,univariate
google__gemini-3-flash-preview,backward_neutral,-0.303879,0.168476,-1.803696,0.071279,-0.634091,0.026333,False,0.585,-0.323265,600,200,univariate
google__gemini-3-flash-preview,backward_contradiction,0.238107,0.061738,3.856732,0.000115,0.1171,0.359114,True,0.58,-0.316934,600,200,univariate
google__gemini-3-flash-preview,bidirectional_entailment,0.056571,0.098648,0.57346,0.566333,-0.13678,0.249922,False,0.578333,-0.316188,600,200,univariate
google__gemini-3-flash-preview,nli_boundary_risk,0.013161,0.096872,0.135859,0.891933,-0.176709,0.203031,False,0.578333,-0.315949,600,200,univariate
google__gemini-3-flash-preview,nli_omission_risk,-0.218392,0.122736,-1.779369,0.075179,-0.458954,0.02217,False,0.583333,-0.320163,600,200,univariate
google__gemini-3-flash-preview,nli_contradiction_risk,0.096038,0.123905,0.775093,0.438285,-0.146816,0.338892,False,0.581667,-0.316568,600,200,univariate
google__gemini-3-flash-preview,semantic_fidelity_score,0.041311,0.097622,0.423171,0.67217,-0.150029,0.232651,False,0.578333,-0.316075,600,200,univariate
moonshotai__kimi-k2.5,forward_entailment,-0.000152,0.079763,-0.001906,0.99848,-0.156487,0.156183,False,0.608333,0.440312,600,200,univariate
moonshotai__kimi-k2.5,forward_neutral,-0.000372,0.080365,-0.004629,0.996307,-0.157888,0.157144,False,0.608333,0.440312,600,200,univariate
moonshotai__kimi-k2.5,forward_contradiction,0.003675,0.115207,0.031899,0.974552,-0.22213,0.22948,False,0.608333,0.440313,600,200,univariate
