model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,clause_count,0.055912,0.109347,0.511327,0.609122,-0.158408,0.270232,False,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,dependency_depth,0.020845,0.101697,0.204971,0.837595,-0.178482,0.220172,False,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.196743,0.139335,1.412009,0.157947,-0.076355,0.469841,False,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,max_dependency_distance,-0.027362,0.110988,-0.246531,0.805271,-0.244899,0.190175,False,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.502615,0.152781,-3.289778,0.001003,-0.802065,-0.203165,True,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nominalization_ratio,-0.139855,0.101142,-1.382757,0.16674,-0.338094,0.058384,False,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,modifier_density,0.258018,0.106809,2.415688,0.015705,0.048672,0.467364,True,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,coordination_count,-0.175868,0.093206,-1.886883,0.059176,-0.358551,0.006815,False,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,passive_count,0.180118,0.093748,1.921293,0.054695,-0.003629,0.363865,False,0.608333,0.042056,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.675894,0.158991,-4.251145,2.1e-05,-0.987516,-0.364272,True,0.608333,0.042056,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,clause_count,0.184108,0.115571,1.593034,0.111152,-0.04241,0.410626,False,0.658333,0.26781,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,dependency_depth,0.093135,0.111223,0.837373,0.402383,-0.124862,0.311132,False,0.658333,0.26781,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,mean_dependency_distance,0.042038,0.15533,0.270636,0.786671,-0.262409,0.346485,False,0.658333,0.26781,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,max_dependency_distance,-0.109259,0.122546,-0.891578,0.372619,-0.349449,0.130931,False,0.658333,0.26781,600,200,feature_family_multivariate
