model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,extra_number_count,-0.309785,0.137533,-2.252445,0.024294,-0.579349,-0.040221,True,0.565,0.04687,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_number_ratio,0.051954,0.134482,0.386327,0.699255,-0.211631,0.315539,False,0.565,0.04687,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,extra_entity_count,0.223945,0.095678,2.340617,0.019252,0.036417,0.411473,True,0.565,0.04687,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,financial_register_score,-0.015022,0.075448,-0.199105,0.842181,-0.162899,0.132855,False,0.565,0.04687,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,statistical_register_score,-0.045849,0.070578,-0.649619,0.515938,-0.184182,0.092484,False,0.565,0.04687,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,register_score,-0.04423,0.04628,-0.955694,0.339227,-0.13494,0.04648,False,0.565,0.04687,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,translationese_score,-0.220954,0.096754,-2.283668,0.022391,-0.410592,-0.031316,True,0.565,0.04687,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_number_count,-0.379581,0.154142,-2.462547,0.013795,-0.681699,-0.077463,True,0.625,0.268255,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_number_ratio,-0.267288,0.148006,-1.805921,0.070931,-0.557381,0.022805,False,0.625,0.268255,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,extra_entity_count,0.08482,0.101762,0.833512,0.404556,-0.114634,0.284274,False,0.625,0.268255,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,financial_register_score,0.024724,0.076368,0.323748,0.746129,-0.124957,0.174405,False,0.625,0.268255,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,statistical_register_score,0.008318,0.066924,0.12429,0.901086,-0.122854,0.13949,False,0.625,0.268255,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,register_score,0.021856,0.043427,0.503281,0.614767,-0.063261,0.106973,False,0.625,0.268255,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,translationese_score,-0.397343,0.101132,-3.928936,8.5e-05,-0.595563,-0.199123,True,0.625,0.268255,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_count,-0.430156,0.164751,-2.610939,0.009029,-0.753069,-0.107243,True,0.613333,-0.326662,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_number_ratio,0.136789,0.174936,0.781937,0.434251,-0.206086,0.479664,False,0.613333,-0.326662,600,200,feature_family_multivariate
google__gemini-3-flash-preview,extra_entity_count,0.298732,0.105043,2.843904,0.004456,0.092848,0.504616,True,0.613333,-0.326662,600,200,feature_family_multivariate
google__gemini-3-flash-preview,financial_register_score,-0.045397,0.076981,-0.589717,0.55538,-0.19628,0.105486,False,0.613333,-0.326662,600,200,feature_family_multivariate
google__gemini-3-flash-preview,statistical_register_score,-0.025064,0.069568,-0.36028,0.718638,-0.161418,0.11129,False,0.613333,-0.326662,600,200,feature_family_multivariate
google__gemini-3-flash-preview,register_score,-0.047564,0.049684,-0.957337,0.338397,-0.144944,0.049816,False,0.613333,-0.326662,600,200,feature_family_multivariate
google__gemini-3-flash-preview,translationese_score,-0.307072,0.101044,-3.039008,0.002374,-0.505117,-0.109027,True,0.613333,-0.326662,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_count,-0.189419,0.127065,-1.490725,0.136034,-0.438466,0.059628,False,0.633333,0.475373,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_number_ratio,0.004278,0.091156,0.04693,0.962569,-0.174389,0.182945,False,0.633333,0.475373,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,extra_entity_count,0.338142,0.102382,3.302756,0.000957,0.137474,0.53881,True,0.633333,0.475373,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,financial_register_score,0.000212,0.083665,0.002534,0.997978,-0.163772,0.164196,False,0.633333,0.475373,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,statistical_register_score,0.058517,0.074112,0.789573,0.429777,-0.086743,0.203777,False,0.633333,0.475373,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,register_score,0.044521,0.049132,0.906148,0.364857,-0.051778,0.14082,False,0.633333,0.475373,600,200,feature_family_multivariate
