version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
kimi-version,anthropic__claude-sonnet-4.6,intercept,-0.144638,0.071236,-2.030413,0.042315,-0.28426,-0.005016,True,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.158403,0.085117,1.861001,0.062744,-0.008427,0.325233,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,bidirectional_entailment,0.080949,0.121694,0.665187,0.505931,-0.157571,0.319469,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_boundary_risk,0.048638,0.079953,0.60833,0.542969,-0.10807,0.205345,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_omission_risk,-0.219965,0.107158,-2.052729,0.040099,-0.429994,-0.009937,True,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.109878,0.074298,-1.478885,0.139171,-0.255501,0.035746,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,dependency_depth,-0.079137,0.068909,-1.148431,0.250791,-0.214199,0.055924,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,mean_dependency_distance,-0.005253,0.103637,-0.050683,0.959578,-0.208381,0.197876,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,normalized_dependency_distance,0.051287,0.132025,0.388463,0.697673,-0.207482,0.310055,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,clause_count,-0.117319,0.087542,-1.340135,0.180202,-0.288902,0.054264,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,modifier_density,-0.034595,0.082277,-0.42047,0.674142,-0.195859,0.126669,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nominalization_ratio,0.05473,0.078631,0.696035,0.486407,-0.099387,0.208848,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,coordination_count,0.174628,0.077693,2.247664,0.024598,0.02235,0.326906,True,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.064587,0.08093,-0.798061,0.424835,-0.223211,0.094036,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,sentence_compression_ratio,0.065831,0.118551,0.555301,0.578689,-0.166528,0.298191,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_function_word_density,-0.613824,0.093859,-6.539869,0.0,-0.797787,-0.429861,True,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_passive_density,-0.223969,0.078792,-2.842536,0.004476,-0.378402,-0.069537,True,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_pronoun_subject_ratio,-0.022887,0.06462,-0.354171,0.72321,-0.149542,0.103769,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_explicit_connective_density,-0.285919,0.078228,-3.654946,0.000257,-0.439245,-0.132592,True,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_nominalization_suffix_density,-0.123388,0.079533,-1.551409,0.120804,-0.279271,0.032496,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_avg_sentence_length,0.018457,0.082783,0.222954,0.823572,-0.143798,0.180712,False,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,clause_density,0.239353,0.100299,2.386381,0.017015,0.042766,0.43594,True,0.7125,1200,400
kimi-version,anthropic__claude-sonnet-4.6,lexical_frequency_deviation,-0.479264,0.086944,-5.512317,0.0,-0.649675,-0.308853,True,0.7125,1200,400
kimi-version,deepseek__deepseek-v4-flash,intercept,0.261061,0.069981,3.730436,0.000191,0.123897,0.398224,True,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.124381,0.093389,1.331856,0.182907,-0.058662,0.307423,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,bidirectional_entailment,0.189664,0.122379,1.549806,0.121188,-0.050199,0.429527,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,nli_boundary_risk,-0.110847,0.143101,-0.774602,0.438575,-0.391325,0.169632,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,nli_omission_risk,-0.167833,0.11597,-1.447205,0.14784,-0.395134,0.059469,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,nli_contradiction_risk,0.094619,0.106773,0.886167,0.375528,-0.114657,0.303895,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,dependency_depth,-0.099608,0.07886,-1.263096,0.206555,-0.254174,0.054958,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,mean_dependency_distance,0.043829,0.115142,0.380655,0.703459,-0.181849,0.269508,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.006639,0.161538,-0.0411,0.967216,-0.323254,0.309976,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,clause_count,-0.101234,0.090023,-1.124535,0.260786,-0.277679,0.075211,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,modifier_density,-0.013639,0.081929,-0.166471,0.867786,-0.174219,0.146942,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,nominalization_ratio,0.020239,0.082568,0.245121,0.806363,-0.141595,0.182073,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,coordination_count,0.158802,0.083109,1.910761,0.056035,-0.004092,0.321696,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.103182,0.090959,-1.134378,0.256636,-0.281462,0.075098,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.14578,0.14448,-1.008997,0.312976,-0.428961,0.137401,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_function_word_density,-0.742792,0.092506,-8.029701,0.0,-0.924103,-0.561481,True,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_passive_density,-0.175508,0.082264,-2.133465,0.032887,-0.336747,-0.01427,True,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,0.091603,0.07932,1.154861,0.248147,-0.063863,0.247069,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.369074,0.074191,-4.97466,1e-06,-0.514488,-0.22366,True,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_nominalization_suffix_density,-0.098665,0.071323,-1.383363,0.166553,-0.238457,0.041127,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_avg_sentence_length,0.04924,0.093679,0.525629,0.599146,-0.13437,0.23285,False,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,clause_density,0.217361,0.099829,2.177325,0.029456,0.021695,0.413027,True,0.74,1200,400
kimi-version,deepseek__deepseek-v4-flash,lexical_frequency_deviation,-0.458674,0.087587,-5.236766,0.0,-0.630345,-0.287003,True,0.74,1200,400
kimi-version,google__gemini-3-flash-preview,intercept,-0.087128,0.07347,-1.185909,0.235658,-0.231129,0.056872,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.148267,0.096209,1.541096,0.123293,-0.040302,0.336836,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,bidirectional_entailment,0.087616,0.12344,0.709788,0.477836,-0.154326,0.329558,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,nli_boundary_risk,0.03114,0.082331,0.378226,0.705263,-0.130229,0.192509,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,nli_omission_risk,-0.21212,0.108771,-1.950157,0.051157,-0.42531,0.001071,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,nli_contradiction_risk,-0.064956,0.067835,-0.957566,0.338282,-0.197913,0.068,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,dependency_depth,-0.061626,0.078342,-0.786629,0.431499,-0.215178,0.091925,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,mean_dependency_distance,0.015481,0.116538,0.132845,0.894316,-0.212933,0.243896,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,normalized_dependency_distance,-0.030314,0.147852,-0.205031,0.837548,-0.320105,0.259476,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,clause_count,-0.031486,0.08742,-0.360167,0.718722,-0.202828,0.139857,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,modifier_density,0.098003,0.081697,1.199595,0.230296,-0.062122,0.258128,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,nominalization_ratio,0.106049,0.079216,1.338739,0.180656,-0.049214,0.261312,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,coordination_count,0.204711,0.081228,2.520196,0.011729,0.045504,0.363918,True,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,passive_or_beishi_count,-0.038417,0.080315,-0.478324,0.63242,-0.195834,0.119001,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,sentence_compression_ratio,-0.180304,0.145897,-1.235832,0.216521,-0.466261,0.105654,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,target_function_word_density,-0.70557,0.090703,-7.778898,0.0,-0.883347,-0.527792,True,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,target_passive_density,-0.186722,0.076066,-2.454723,0.014099,-0.335812,-0.037632,True,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,target_pronoun_subject_ratio,-0.037964,0.066087,-0.574455,0.56566,-0.167494,0.091566,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,target_explicit_connective_density,-0.389106,0.075744,-5.137146,0.0,-0.537563,-0.240648,True,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,target_nominalization_suffix_density,-0.145956,0.079047,-1.84644,0.064828,-0.300888,0.008977,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,target_avg_sentence_length,0.03352,0.092162,0.363704,0.716079,-0.147118,0.214157,False,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,clause_density,0.228835,0.103876,2.202971,0.027597,0.025239,0.432432,True,0.736667,1200,400
kimi-version,google__gemini-3-flash-preview,lexical_frequency_deviation,-0.435676,0.097816,-4.454053,8e-06,-0.627394,-0.243957,True,0.736667,1200,400
kimi-version,openai__gpt-5.2,intercept,0.306459,0.069573,4.404855,1.1e-05,0.170096,0.442822,True,0.703333,1200,400
kimi-version,openai__gpt-5.2,crosslingual_embedding_similarity,0.212196,0.09149,2.319335,0.020377,0.032876,0.391516,True,0.703333,1200,400
kimi-version,openai__gpt-5.2,bidirectional_entailment,0.008554,0.11586,0.073833,0.941143,-0.218532,0.235641,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,nli_boundary_risk,-0.103455,0.108097,-0.957062,0.338536,-0.315324,0.108414,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,nli_omission_risk,-0.313392,0.091221,-3.435501,0.000591,-0.492186,-0.134597,True,0.703333,1200,400
kimi-version,openai__gpt-5.2,nli_contradiction_risk,-0.025564,0.088095,-0.290189,0.771672,-0.19823,0.147102,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,dependency_depth,-0.204736,0.072316,-2.831126,0.004638,-0.346476,-0.062997,True,0.703333,1200,400
kimi-version,openai__gpt-5.2,mean_dependency_distance,-0.037205,0.104295,-0.356734,0.721291,-0.241623,0.167212,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,normalized_dependency_distance,0.069564,0.132719,0.524147,0.600177,-0.190564,0.329692,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,clause_count,-0.103052,0.086309,-1.193984,0.232484,-0.272218,0.066114,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,modifier_density,-0.048429,0.082471,-0.587231,0.557049,-0.210073,0.113214,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,nominalization_ratio,0.082477,0.08075,1.021382,0.307073,-0.075794,0.240748,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,coordination_count,0.12385,0.077143,1.605464,0.108392,-0.02735,0.27505,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,passive_or_beishi_count,-0.047753,0.078435,-0.608828,0.542638,-0.201485,0.105979,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,sentence_compression_ratio,0.029665,0.117022,0.253503,0.799879,-0.199697,0.259028,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,target_function_word_density,-0.589583,0.088919,-6.630604,0.0,-0.763864,-0.415303,True,0.703333,1200,400
kimi-version,openai__gpt-5.2,target_passive_density,-0.196765,0.084324,-2.333443,0.019625,-0.36204,-0.03149,True,0.703333,1200,400
kimi-version,openai__gpt-5.2,target_pronoun_subject_ratio,0.008507,0.077408,0.109897,0.912491,-0.143213,0.160226,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,target_explicit_connective_density,-0.402754,0.071452,-5.636727,0.0,-0.542799,-0.262708,True,0.703333,1200,400
kimi-version,openai__gpt-5.2,target_nominalization_suffix_density,-0.05786,0.076708,-0.754283,0.450679,-0.208208,0.092489,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,target_avg_sentence_length,0.194923,0.096329,2.023513,0.04302,0.006118,0.383727,True,0.703333,1200,400
kimi-version,openai__gpt-5.2,clause_density,0.120146,0.102451,1.172716,0.24091,-0.080658,0.320949,False,0.703333,1200,400
kimi-version,openai__gpt-5.2,lexical_frequency_deviation,-0.33245,0.088274,-3.766099,0.000166,-0.505468,-0.159432,True,0.703333,1200,400
