version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
kimi-version,anthropic__claude-sonnet-4.6,intercept,-0.137125,0.068625,-1.998195,0.045696,-0.271629,-0.002621,True,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.120941,0.082758,1.461386,0.14391,-0.041264,0.283147,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,bidirectional_entailment,0.081483,0.105666,0.771141,0.440624,-0.125622,0.288589,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_boundary_risk,0.047391,0.070835,0.669026,0.503479,-0.091446,0.186228,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_omission_risk,-0.212776,0.090457,-2.352222,0.018662,-0.390073,-0.035479,True,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.116657,0.068751,-1.696806,0.089733,-0.251408,0.018095,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,dependency_depth,-0.061217,0.06981,-0.876921,0.380529,-0.198044,0.075609,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,mean_dependency_distance,0.010277,0.101532,0.101216,0.919379,-0.188726,0.209279,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,normalized_dependency_distance,0.017534,0.124374,0.14098,0.887885,-0.226238,0.261307,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,clause_count,-0.101023,0.086956,-1.16176,0.245333,-0.271457,0.069412,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,modifier_density,-0.033928,0.080062,-0.423778,0.671727,-0.19085,0.122993,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nominalization_ratio,0.079787,0.077194,1.033602,0.301322,-0.071512,0.231087,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,coordination_count,0.165176,0.080149,2.060855,0.039317,0.008083,0.322269,True,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.120877,0.079252,-1.525231,0.127201,-0.276211,0.034456,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.030698,0.120014,-0.255785,0.798117,-0.265925,0.20453,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_function_word_density,-0.820832,0.087771,-9.351917,0.0,-0.992864,-0.6488,True,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_passive_density,-0.204351,0.074384,-2.747238,0.00601,-0.350145,-0.058558,True,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_pronoun_subject_ratio,-0.033245,0.064888,-0.51234,0.608413,-0.160426,0.093936,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_explicit_connective_density,-0.292173,0.081937,-3.565803,0.000363,-0.45277,-0.131575,True,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_nominalization_suffix_density,-0.127148,0.0768,-1.655581,0.097807,-0.277675,0.023379,False,0.701667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_avg_sentence_length,0.149671,0.075452,1.983659,0.047294,0.001785,0.297557,True,0.701667,1200,400
kimi-version,deepseek__deepseek-v4-flash,intercept,0.250989,0.067792,3.702328,0.000214,0.118116,0.383861,True,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.097658,0.093496,1.044514,0.296248,-0.085594,0.280911,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,bidirectional_entailment,0.186932,0.111592,1.675132,0.093908,-0.031789,0.405653,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,nli_boundary_risk,-0.116991,0.138193,-0.846579,0.39723,-0.387849,0.153867,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,nli_omission_risk,-0.157424,0.102465,-1.536358,0.124451,-0.358256,0.043409,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,nli_contradiction_risk,0.088478,0.101825,0.868928,0.384886,-0.111098,0.288055,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,dependency_depth,-0.08132,0.078627,-1.034261,0.301014,-0.235428,0.072788,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,mean_dependency_distance,0.061974,0.112051,0.553088,0.580203,-0.157646,0.281594,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.035115,0.146767,-0.239257,0.810906,-0.322778,0.252548,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,clause_count,-0.080563,0.08766,-0.919044,0.358072,-0.252376,0.09125,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,modifier_density,-0.013457,0.082342,-0.16343,0.87018,-0.174848,0.147934,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,nominalization_ratio,0.046885,0.080543,0.582112,0.560491,-0.110979,0.204749,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,coordination_count,0.154565,0.083425,1.85274,0.06392,-0.008948,0.318078,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.154794,0.089351,-1.732438,0.083196,-0.329921,0.020333,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.23515,0.140477,-1.673944,0.094142,-0.510485,0.040184,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_function_word_density,-0.938753,0.08915,-10.530033,0.0,-1.113487,-0.764019,True,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_passive_density,-0.162825,0.078842,-2.065191,0.038905,-0.317356,-0.008293,True,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,0.080623,0.072296,1.11518,0.264773,-0.061077,0.222322,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.369349,0.074594,-4.951483,1e-06,-0.515552,-0.223145,True,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_nominalization_suffix_density,-0.106556,0.070226,-1.517342,0.12918,-0.244199,0.031086,False,0.73,1200,400
kimi-version,deepseek__deepseek-v4-flash,target_avg_sentence_length,0.166822,0.076615,2.177422,0.029449,0.016658,0.316987,True,0.73,1200,400
kimi-version,google__gemini-3-flash-preview,intercept,-0.082646,0.07203,-1.14739,0.25122,-0.223825,0.058532,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.12049,0.088254,1.365266,0.17217,-0.052488,0.293468,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,bidirectional_entailment,0.088019,0.108726,0.809542,0.418204,-0.125085,0.301122,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,nli_boundary_risk,0.030126,0.073991,0.407156,0.683894,-0.114897,0.175149,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,nli_omission_risk,-0.203107,0.093039,-2.183021,0.029034,-0.385464,-0.02075,True,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,nli_contradiction_risk,-0.071375,0.061651,-1.157734,0.246973,-0.19221,0.04946,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,dependency_depth,-0.046446,0.077926,-0.59603,0.551155,-0.199182,0.106289,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,mean_dependency_distance,0.032887,0.114625,0.286913,0.774179,-0.191777,0.257552,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,normalized_dependency_distance,-0.061098,0.13978,-0.437101,0.662038,-0.335067,0.212871,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,clause_count,-0.012628,0.087607,-0.144142,0.885388,-0.184338,0.159083,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,modifier_density,0.094049,0.080302,1.171187,0.241524,-0.063344,0.251442,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,nominalization_ratio,0.12846,0.077117,1.665785,0.095756,-0.022689,0.279609,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,coordination_count,0.195327,0.081851,2.386363,0.017016,0.034898,0.355756,True,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,passive_or_beishi_count,-0.088089,0.080044,-1.10051,0.27111,-0.244976,0.068797,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,sentence_compression_ratio,-0.269462,0.14641,-1.840459,0.065701,-0.556426,0.017502,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,target_function_word_density,-0.895991,0.084656,-10.583862,0.0,-1.061917,-0.730065,True,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,target_passive_density,-0.172444,0.072775,-2.369569,0.017809,-0.315082,-0.029806,True,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,target_pronoun_subject_ratio,-0.048796,0.063827,-0.764499,0.44457,-0.173897,0.076305,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,target_explicit_connective_density,-0.391923,0.077714,-5.043123,0.0,-0.544243,-0.239603,True,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,target_nominalization_suffix_density,-0.151318,0.077529,-1.951766,0.050966,-0.303274,0.000638,False,0.7225,1200,400
kimi-version,google__gemini-3-flash-preview,target_avg_sentence_length,0.162641,0.077508,2.098362,0.035873,0.010724,0.314557,True,0.7225,1200,400
kimi-version,openai__gpt-5.2,intercept,0.299166,0.068292,4.380664,1.2e-05,0.165313,0.433019,True,0.689167,1200,400
kimi-version,openai__gpt-5.2,crosslingual_embedding_similarity,0.188678,0.085001,2.219719,0.026438,0.022076,0.355279,True,0.689167,1200,400
kimi-version,openai__gpt-5.2,bidirectional_entailment,0.007297,0.11266,0.064768,0.948359,-0.213516,0.228109,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,nli_boundary_risk,-0.105787,0.104805,-1.009368,0.312798,-0.311204,0.099631,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,nli_omission_risk,-0.309874,0.089455,-3.464006,0.000532,-0.485207,-0.134541,True,0.689167,1200,400
kimi-version,openai__gpt-5.2,nli_contradiction_risk,-0.029866,0.086883,-0.343744,0.731039,-0.200156,0.140425,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,dependency_depth,-0.190204,0.073277,-2.595702,0.00944,-0.333826,-0.046582,True,0.689167,1200,400
kimi-version,openai__gpt-5.2,mean_dependency_distance,-0.03382,0.103435,-0.326974,0.743688,-0.236552,0.168911,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,normalized_dependency_distance,0.057301,0.127902,0.448008,0.654147,-0.193387,0.30799,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,clause_count,-0.09142,0.08554,-1.068741,0.285187,-0.259078,0.076238,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,modifier_density,-0.046529,0.081318,-0.57219,0.567193,-0.205912,0.112854,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,nominalization_ratio,0.099089,0.079296,1.249606,0.211443,-0.056331,0.254509,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,coordination_count,0.12503,0.076496,1.63447,0.10216,-0.024902,0.274962,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,passive_or_beishi_count,-0.087415,0.078463,-1.114096,0.265238,-0.241203,0.066372,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,sentence_compression_ratio,-0.028244,0.125331,-0.225355,0.821703,-0.273893,0.217405,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,target_function_word_density,-0.738214,0.082554,-8.942156,0.0,-0.90002,-0.576407,True,0.689167,1200,400
kimi-version,openai__gpt-5.2,target_passive_density,-0.186546,0.082952,-2.248842,0.024523,-0.349131,-0.02396,True,0.689167,1200,400
kimi-version,openai__gpt-5.2,target_pronoun_subject_ratio,0.005965,0.078451,0.076037,0.93939,-0.147799,0.159729,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,target_explicit_connective_density,-0.408799,0.070745,-5.778495,0.0,-0.547459,-0.270139,True,0.689167,1200,400
kimi-version,openai__gpt-5.2,target_nominalization_suffix_density,-0.069338,0.075275,-0.921131,0.356982,-0.216877,0.078201,False,0.689167,1200,400
kimi-version,openai__gpt-5.2,target_avg_sentence_length,0.257716,0.088145,2.923772,0.003458,0.084952,0.430481,True,0.689167,1200,400
