version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
kimi-version,anthropic__claude-sonnet-4.6,intercept,-0.144264,0.071549,-2.016305,0.043768,-0.284499,-0.004029,True,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.169932,0.087391,1.94449,0.051836,-0.001355,0.341219,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,bidirectional_entailment,0.065818,0.121102,0.543492,0.586791,-0.171542,0.303178,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_boundary_risk,0.041376,0.081307,0.508883,0.610834,-0.117986,0.200737,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_omission_risk,-0.217946,0.107224,-2.032623,0.042091,-0.428106,-0.007787,True,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.10965,0.07838,-1.398953,0.161827,-0.263274,0.043975,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,dependency_depth,-0.085738,0.069861,-1.227264,0.219723,-0.222665,0.051189,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,mean_dependency_distance,-0.021215,0.103788,-0.204407,0.838036,-0.224639,0.18221,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,normalized_dependency_distance,0.066825,0.128919,0.51835,0.604214,-0.185856,0.319507,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,clause_count,-0.120978,0.087264,-1.386353,0.165639,-0.292016,0.050059,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,modifier_density,-0.022787,0.083471,-0.272989,0.784862,-0.18639,0.140817,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nominalization_ratio,0.045097,0.07791,0.578837,0.562699,-0.107606,0.1978,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,coordination_count,0.168855,0.078973,2.138132,0.032506,0.014068,0.323642,True,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.062653,0.081235,-0.771254,0.440556,-0.221873,0.096567,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,sentence_compression_ratio,0.100276,0.120449,0.832514,0.405119,-0.135805,0.336356,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_function_word_density,-0.620989,0.093067,-6.672474,0.0,-0.803401,-0.438577,True,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_passive_density,-0.225614,0.080767,-2.7934,0.005216,-0.383917,-0.067311,True,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_pronoun_subject_ratio,0.003862,0.068871,0.05608,0.955278,-0.131125,0.138849,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_explicit_connective_density,-0.270095,0.07757,-3.481958,0.000498,-0.422133,-0.118058,True,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_nominalization_suffix_density,-0.120954,0.07785,-1.553673,0.120263,-0.27354,0.031633,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_avg_sentence_length,0.078915,0.088081,0.895943,0.370283,-0.093723,0.251554,False,0.715833,1200,400
kimi-version,anthropic__claude-sonnet-4.6,mtld,0.0,0.0,,,0.0,0.0,False,0.715833,1200,400
