version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
kimi-version,anthropic__claude-sonnet-4.6,intercept,-0.138842,0.069584,-1.995327,0.046007,-0.275226,-0.002458,True,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.117847,0.082886,1.421798,0.155085,-0.044609,0.280303,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,bidirectional_entailment,0.072488,0.105124,0.689552,0.490476,-0.133555,0.278532,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_boundary_risk,0.040884,0.072134,0.566779,0.570864,-0.100499,0.182268,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_omission_risk,-0.212702,0.090858,-2.341035,0.01923,-0.390784,-0.03462,True,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.111838,0.070749,-1.580768,0.113931,-0.250507,0.02683,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,dependency_depth,-0.077241,0.070772,-1.091403,0.275095,-0.215955,0.061473,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,mean_dependency_distance,-0.027436,0.101067,-0.27146,0.786037,-0.225528,0.170656,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,normalized_dependency_distance,0.057076,0.122823,0.464704,0.642143,-0.183656,0.297809,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,clause_count,-0.113503,0.086518,-1.311897,0.189555,-0.283078,0.056073,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,modifier_density,-0.017931,0.082106,-0.218388,0.827126,-0.178859,0.142997,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,nominalization_ratio,0.067333,0.078141,0.861689,0.388859,-0.085823,0.220489,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,coordination_count,0.183037,0.079604,2.299353,0.021485,0.027014,0.339061,True,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.113267,0.079052,-1.432807,0.151913,-0.268209,0.041676,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,sentence_compression_ratio,0.047877,0.116847,0.409743,0.681994,-0.181143,0.276898,False,0.696667,1200,400
kimi-version,anthropic__claude-sonnet-4.6,target_function_word_density,-0.803672,0.08762,-9.172267,0.0,-0.975407,-0.631937,True,0.696667,1200,400
